assessmentIdentifier,original_grade,edfi_descriptor
FastBridge_CBMMath_CAP_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_CAP_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_CAP_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_CAP_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_CAP_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_CAP_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_CAP_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_CBMMath_CAP_PM,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_CBMMath_CAP_PM,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_CBMMath_CAP_PM,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_CBMMath_CAP_PM,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_CBMMath_CAP_PM,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_CBMMath_CAP_PM,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,KG,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,01,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,02,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_CBMMath_Fluency_1x1_Addition_and_Subtraction_to_10_PM,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
