assessmentIdentifier,original_grade,edfi_descriptor
FastBridge_SAEBRS_Student,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_SAEBRS_Student,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_SAEBRS_Student,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_SAEBRS_Student,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_SAEBRS_Student,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_SAEBRS_Student,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_SAEBRS_Student,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_SAEBRS_Student,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_SAEBRS_Student,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_SAEBRS_Student,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_SAEBRS_Student,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_SAEBRS_Student,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_SAEBRS_Student,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_SAEBRS_Student,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
FastBridge_SAEBRS_Teacher,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_SAEBRS_Teacher,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_SAEBRS_Teacher,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_SAEBRS_Teacher,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_SAEBRS_Teacher,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_SAEBRS_Teacher,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_SAEBRS_Teacher,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_SAEBRS_Teacher,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_SAEBRS_Teacher,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_SAEBRS_Teacher,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_SAEBRS_Teacher,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_SAEBRS_Teacher,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_SAEBRS_Teacher,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_SAEBRS_Teacher,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
