assessmentIdentifier,original_grade,gradeLevelDescriptor
FastBridge_earlyReadingSpanish,Primary,uri://ed-fi.org/GradeLevelDescriptor#Preschool/Prekindergarten
FastBridge_earlyReadingSpanish,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
FastBridge_earlyReadingSpanish,One,uri://ed-fi.org/GradeLevelDescriptor#First grade
FastBridge_earlyReadingSpanish,Two,uri://ed-fi.org/GradeLevelDescriptor#Second grade
FastBridge_earlyReadingSpanish,Three,uri://ed-fi.org/GradeLevelDescriptor#Third grade
FastBridge_earlyReadingSpanish,Four,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
FastBridge_earlyReadingSpanish,Five,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
FastBridge_earlyReadingSpanish,Six,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
FastBridge_earlyReadingSpanish,Seven,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
FastBridge_earlyReadingSpanish,Eight,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
FastBridge_earlyReadingSpanish,Nine,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
FastBridge_earlyReadingSpanish,Ten,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
FastBridge_earlyReadingSpanish,Eleven,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
FastBridge_earlyReadingSpanish,Twelve,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
