identificationCode,scoreType,resultDatatype
CBMRSpanish,Total Words Read,Integer
CBMRSpanish,Words Read Correct,Integer
CBMRSpanish,WRC per minute,Decimal
CBMRSpanish,Median Accuracy,Decimal
CBMRSpanish,School Percentile,Percentile
CBMRSpanish,LEA Percentile,Percentile
CBMRSpanish,National Percentile,Percentile
ConceptsOfPrint,Total Items,Integer
ConceptsOfPrint,Items Correct,Integer
ConceptsOfPrint,IC per minute,Decimal
ConceptsOfPrint,School Percentile,Percentile
ConceptsOfPrint,LEA Percentile,Percentile
ConceptsOfPrint,National Percentile,Percentile
DecodableWords,Total Words Read,Integer
DecodableWords,Words Read Correct,Integer
DecodableWords,WRC per minute,Decimal
DecodableWords,School Percentile,Percentile
DecodableWords,LEA Percentile,Percentile
DecodableWords,National Percentile,Percentile
LetterNames,Total Words Read,Integer
LetterNames,Words Read Correct,Integer
LetterNames,WRC per minute,Decimal
LetterNames,School Percentile,Percentile
LetterNames,LEA Percentile,Percentile
LetterNames,National Percentile,Percentile
LetterSounds,Total Words Read,Integer
LetterSounds,Words Read Correct,Integer
LetterSounds,WRC per minute,Decimal
LetterSounds,School Percentile,Percentile
LetterSounds,LEA Percentile,Percentile
LetterSounds,National Percentile,Percentile
OnsetSounds,Total Items,Integer
OnsetSounds,Items Correct,Integer
OnsetSounds,IC per minute,Decimal
OnsetSounds,School Percentile,Percentile
OnsetSounds,LEA Percentile,Percentile
OnsetSounds,National Percentile,Percentile
OralRepitition,Total Items,Integer
OralRepitition,Items Correct,Integer
OralRepitition,IC per minute,Decimal
OralRepitition,School Percentile,Percentile
OralRepitition,LEA Percentile,Percentile
OralRepitition,National Percentile,Percentile
SentenceReading,Total Words Read,Integer
SentenceReading,Words Read Correct,Integer
SentenceReading,WRC per minute,Decimal
SentenceReading,School Percentile,Percentile
SentenceReading,LEA Percentile,Percentile
SentenceReading,National Percentile,Percentile
SightWords,Total Words Read,Integer
SightWords,Words Read Correct,Integer
SightWords,WRC per minute,Decimal
SightWords,School Percentile,Percentile
SightWords,LEA Percentile,Percentile
SightWords,National Percentile,Percentile
SyllableReading,Total Words Read,Integer
SyllableReading,Words Read Correct,Integer
SyllableReading,WRC per minute,Decimal
SyllableReading,School Percentile,Percentile
SyllableReading,LEA Percentile,Percentile
SyllableReading,National Percentile,Percentile
WordBlending,Total Items,Integer
WordBlending,Items Correct,Integer
WordBlending,IC per minute,Decimal
WordBlending,School Percentile,Percentile
WordBlending,LEA Percentile,Percentile
WordBlending,National Percentile,Percentile
WordRhyming,Total Items,Integer
WordRhyming,Items Correct,Integer
WordRhyming,IC per minute,Decimal
WordRhyming,School Percentile,Percentile
WordRhyming,LEA Percentile,Percentile
WordRhyming,National Percentile,Percentile
WordSegmenting,Total Items,Integer
WordSegmenting,Items Correct,Integer
WordSegmenting,IC per minute,Decimal
WordSegmenting,School Percentile,Percentile
WordSegmenting,LEA Percentile,Percentile
WordSegmenting,National Percentile,Percentile
