identificationCode,assessmentIdentifier,description,namespace
CBMRSpanish,FastBridge_earlyReadingSpanish,CBMR-Spanish Assessment,uri://fastbridge.org/assessment
ConceptsOfPrint,FastBridge_earlyReadingSpanish,Concepts of Print Assessment,uri://fastbridge.org/assessment
DecodableWords,FastBridge_earlyReadingSpanish,Decodable Words Assessment,uri://fastbridge.org/assessment
LetterNames,FastBridge_earlyReadingSpanish,Letter Names Assessment,uri://fastbridge.org/assessment
LetterSounds,FastBridge_earlyReadingSpanish,Letter Sounds Assessment,uri://fastbridge.org/assessment
OnsetSounds,FastBridge_earlyReadingSpanish,Onset Sounds Assessment,uri://fastbridge.org/assessment
OralRepetition,FastBridge_earlyReadingSpanish,Oral Repetition Assessment,uri://fastbridge.org/assessment
SentenceReading,FastBridge_earlyReadingSpanish,Sentence Reading Assessment,uri://fastbridge.org/assessment
SightWords,FastBridge_earlyReadingSpanish,Sight Words Assessment,uri://fastbridge.org/assessment
SyllableReading,FastBridge_earlyReadingSpanish,Syllable Reading Assessment,uri://fastbridge.org/assessment
WordBlending,FastBridge_earlyReadingSpanish,Word Blending Assessment,uri://fastbridge.org/assessment
WordRhyming,FastBridge_earlyReadingSpanish,Word Rhyming Assessment,uri://fastbridge.org/assessment
WordSegmenting,FastBridge_earlyReadingSpanish,Word Segmenting Assessment,uri://fastbridge.org/assessment
