identificationCode,scoreType,resultDatatypeTypeDescriptor
CBMRSpanish,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
CBMRSpanish,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
CBMRSpanish,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMRSpanish,Median Accuracy,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMRSpanish,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
CBMRSpanish,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMRSpanish,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMRSpanish,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMRSpanish,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
CBMRSpanish,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,District Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,National Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,National Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,National Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
CBMRSpanish,National Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
ConceptsOfPrint,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
ConceptsOfPrint,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
ConceptsOfPrint,Error,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
ConceptsOfPrint,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,Growth Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
ConceptsOfPrint,Growth Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
ConceptsOfPrint,Growth Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
ConceptsOfPrint,Growth Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
ConceptsOfPrint,Growth Percentile by Start Score from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,Growth Percentile by Start Score from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,Growth Percentile by Start Score from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,Growth Percentile by Start Score from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,School Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,School Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,School Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,School Growth Percentile from SP 4,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,District Growth Percentile from Fall,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,District Growth Percentile from Winter,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
ConceptsOfPrint,District Growth Percentile from Spring,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
