identificationCode,assessmentIdentifier,description,namespace,academicSubjectDescriptor
CBMRSpanish,Fastbridge_earlyReadingSpanish,CBMR-Spanish Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
ConceptsOfPrint,Fastbridge_earlyReadingSpanish,Concepts of Print Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
DecodableWords,Fastbridge_earlyReadingSpanish,Decodable Words Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
LetterNames,Fastbridge_earlyReadingSpanish,Letter Names Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
LetterSounds,Fastbridge_earlyReadingSpanish,Letter Sounds Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
OnsetSounds,Fastbridge_earlyReadingSpanish,Onset Sounds Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
OralRepetition,Fastbridge_earlyReadingSpanish,Oral Repetition Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
SentenceReading,Fastbridge_earlyReadingSpanish,Sentence Reading Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
SightWords,Fastbridge_earlyReadingSpanish,Sight Words Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
SyllableReading,Fastbridge_earlyReadingSpanish,Syllable Reading Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
WordBlending,Fastbridge_earlyReadingSpanish,Word Blending Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
WordRhyming,Fastbridge_earlyReadingSpanish,Word Rhyming Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
WordSegmenting,Fastbridge_earlyReadingSpanish,Word Segmenting Assessment,uri://fastbridge.org/assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
