codeValue,description,namespace,shortDescription,datatype,isScoreMetric
Fluency Level,Displays Student's Fluency Level,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Fluency Level,Float,1
Self Correction Rate,Displays the self correction rate of the Student,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Self Correction Rate,Float,1
Words Per Minute,Displays the Words spoken per minute of the Student,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Words Per Minute,Integer,1
Comprehension,Displays Student's reading comprehension,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Comprehension,Percentile,1
Comprehension 2,Displays Student's reading comprehension,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Comprehension 2,Percentile,1
Text Reading Accuracy,Displays Student's Text Reading accuracy,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Text Reading Accuracy,Percentile,1
Text Reading Level,Displays Student's Text Reading level,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Text Reading Level,Level,1
Meaning,Displays Student's ability to understand the meaning of the words,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Meaning,Integer,1
Visual,Displays Student's ability to recognize the words,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Visual,Integer,1
Early Literacy Behaviors,Displays Student's early literacy behaviors,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Early Literacy Behaviors,Integer,1
Letter Recognition,Displays Student's ability for letter recognition,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Letter Recognition,Integer,1
Initial Sounds,Displays Student's ability to understand initial sounds,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Initial Sounds,Integer,1
High Frequency Words,Displays Student's ability to understand the high frequency words,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,High Frequency Words,Integer,1
Word Writing,Displays Student's ability to writing words,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Word Writing,Integer,1
Rhyming Assessment,Displays Student's ability to recognize and manipulate the sounds of language,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Rhyming Assessment,Integer,1
Genre,Displays Text's Genre,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Displays Text's Genre,Level,1
Lexile Level,Displays Lexile Level of the Student,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Lexile Level,Level,-1
Comprehension Level,Displays the student’s Comprehension Level,uri://fountasandpinnell.com/bas/AssessmentReportingMethodDescriptor,Comprehension Level,Percentile,-1
