assessmentIdentifier,edfi_descriptor
GOLD_SE,uri://ed-fi.org/AcademicSubjectDescriptor#Other
GOLD_PHY,"uri://ed-fi.org/AcademicSubjectDescriptor#Physical, Health, and Safety Education"
GOLD_LANG,uri://ed-fi.org/AcademicSubjectDescriptor#Cross Subject
GOLD_COG,uri://ed-fi.org/AcademicSubjectDescriptor#Other
GOLD_LIT,uri://ed-fi.org/AcademicSubjectDescriptor#Cross Subject
GOLD_MATH,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
GOLD_SCI,uri://ed-fi.org/AcademicSubjectDescriptor#Science
GOLD_ART,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
GOLD_ENG,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
GOLD_LANG_Spanish,uri://ed-fi.org/AcademicSubjectDescriptor#Cross Subject
GOLD_LIT_Spanish,uri://ed-fi.org/AcademicSubjectDescriptor#Cross Subject
