assessmentIdentifier,description,shortDescription,edfi_descriptor
GOLD_SE,Early Learning - Social and emotional development,Early Learning - Social and emotional development,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Social and emotional development
GOLD_PHY,Early Learning - Physical well-being and motor dev,Early Learning - Physical well-being and motor dev,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Physical well-being and motor dev
GOLD_LANG,Early Learning - Language and literacy development,Early Learning - Language and literacy development,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Language and literacy development
GOLD_COG,Early Learning - Cognition and general knowledge,Early Learning - Cognition and general knowledge,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Cognition and general knowledge
GOLD_LIT,Early Learning - Language and literacy development,Early Learning - Language and literacy development,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Language and literacy development
GOLD_MATH,Early Learning - Cognition and general knowledge,Early Learning - Cognition and general knowledge,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Cognition and general knowledge
GOLD_SCI,Early Learning - Cognition and general knowledge,Early Learning - Cognition and general knowledge,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Cognition and general knowledge
GOLD_ART,Early Learning - Cognition and general knowledge,Early Learning - Cognition and general knowledge,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Cognition and general knowledge
GOLD_ENG,Early Learning - Language and literacy development,Early Learning - Language and literacy development,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Language and literacy development
GOLD_LANG_Spanish,Early Learning - Language and literacy development,Early Learning - Language and literacy development,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Language and literacy development
GOLD_LIT_Spanish,Early Learning - Language and literacy development,Early Learning - Language and literacy development,uri://ed-fi.org/assessmentCategoryDescriptor#Early Learning - Language and literacy development
