assessmentIdentifier,assessmentTitle,namespace,assessmentFamily
GOLD_SE,Social-Emotional,uri://teachingstrategies.com/product/gold,GOLD
GOLD_PHY,Physical,uri://teachingstrategies.com/product/gold,GOLD
GOLD_LANG,Language,uri://teachingstrategies.com/product/gold,GOLD
GOLD_COG,Cognitive,uri://teachingstrategies.com/product/gold,GOLD
GOLD_LIT,Literacy,uri://teachingstrategies.com/product/gold,GOLD
GOLD_MATH,Mathematics,uri://teachingstrategies.com/product/gold,GOLD
GOLD_SCI,Science & Technology,uri://teachingstrategies.com/product/gold,GOLD
GOLD_ART,The Arts,uri://teachingstrategies.com/product/gold,GOLD
GOLD_ENG,English Language Acquisition,uri://teachingstrategies.com/product/gold,GOLD
GOLD_LANG_Spanish,Spanish Language,uri://teachingstrategies.com/product/gold,GOLD
GOLD_LIT_Spanish,Spanish Literacy,uri://teachingstrategies.com/product/gold,GOLD
