assessmentIdentifier,originalGrade,gradeLevelDescriptor
GOLD_SE,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_SE,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_SE,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_SE,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_SE,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
GOLD_PHY,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_PHY,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_PHY,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_PHY,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_PHY,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
GOLD_LANG,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_LANG,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_LANG,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_LANG,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_LANG,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
GOLD_COG,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_COG,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_COG,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_COG,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_COG,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
GOLD_LIT,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_LIT,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_LIT,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_LIT,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_LIT,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
GOLD_MATH,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_MATH,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_MATH,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_MATH,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_MATH,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
GOLD_SCI,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_SCI,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_SCI,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_SCI,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_SCI,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
GOLD_ART,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_ART,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_ART,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_ART,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_ART,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten
GOLD_ENG,Birth to 1 year,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_ENG,1 to 2 years,uri://ed-fi.org/GradeLevelDescriptor#Infant/toddler
GOLD_ENG,2 to 3 years,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
GOLD_ENG,Preschool 3,uri://ed-fi.org/GradeLevelDescriptor#Preschool
GOLD_ENG,Pre-K 4,uri://ed-fi.org/GradeLevelDescriptor#Prekindergarten

