assessmentIdentifier,edfi_descriptor
GOLD_SE,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_PHY,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_LANG,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_COG,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_LIT,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_MATH,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_SCI,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_ART,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_ENG,uri://ed-fi.org/LanguageDescriptor#eng
GOLD_LANG_Spanish,uri://ed-fi.org/LanguageDescriptor#spa
GOLD_LIT_Spanish,uri://ed-fi.org/LanguageDescriptor#spa
