group_id,ib_group_name,edfi_descriptor
1,Language and literature,N/A
1 - English,N/A,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
1 - Foreign Language,N/A,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
2,Language acquisition,uri://ed-fi.org/AcademicSubjectDescriptor#Foreign Language and Literature
3,Individuals and societies,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
3 and 4,Individuals and societies / Science,uri://ed-fi.org/AcademicSubjectDescriptor#Cross Subject
4,Sciences,uri://ed-fi.org/AcademicSubjectDescriptor#Science
5,Mathematics,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
6,The arts,uri://ed-fi.org/AcademicSubjectDescriptor#Fine and Performing Arts
9,Core elements,uri://ed-fi.org/AcademicSubjectDescriptor#Other
