codeValue,description,namespace,shortDescription
Scale Score,Scale Score,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Scale Score
Lexile Measure,Lexile Measure,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Lexile Measure
Quantile Measure,Quantile Measure,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Quantile Measure
Argumentative Organization/Purpose,Argumentative Organization/Purpose,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Argumentative Organization/Purpose
Argumentative Evidence/Development & Elaboration,Argumentative Evidence/Development & Elaboration,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Argumentative Evidence/Development & Elaboration
Argumentative Conventions,Argumentative Conventions,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Argumentative Conventions
Informative Organization/Purpose,Informative Organization/Purpose,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Informative Organization/Purpose
Informative Evidence/Development & Elaboration,Informative Evidence/Development & Elaboration,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Informative Evidence/Development & Elaboration
Informative Conventions,Informative Conventions,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Informative Conventions
Narrative Organization/Purpose,Narrative Organization/Purpose,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Narrative Organization/Purpose
Narrative Evidence/Development & Elaboration,Narrative Evidence/Development & Elaboration,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Narrative Evidence/Development & Elaboration
Narrative Conventions,Narrative Conventions,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Narrative Conventions
Opinion Organization/Purpose,Opinion Organization/Purpose,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Opinion Organization/Purpose
Opinion Evidence/Development & Elaboration,Opinion Evidence/Development & Elaboration,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Opinion Evidence/Development & Elaboration
Opinion Conventions,Opinion Conventions,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Opinion Conventions
Explanatory Organization/Purpose,Explanatory Organization/Purpose,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Explanatory Organization/Purpose
Explanatory Evidence/Development & Elaboration,Explanatory Evidence/Development & Elaboration,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Explanatory Evidence/Development & Elaboration
Explanatory Conventions,Explanatory Conventions,uri://idoe.gov/ILEARN/assessment//AssessmentReportingMethodDescriptor,Explanatory Conventions
