identificationCode,assessmentIdentifier,namespace,description,parentIdentificationCode
arg_org,ILEARN,uri://idoe.gov/ILEARN/Assessment,Argumentative Organization/Purpose,
arg_evid,ILEARN,uri://idoe.gov/ILEARN/Assessment,Argumentative Evidence/Development & Elaboration,
arg_conv,ILEARN,uri://idoe.gov/ILEARN/Assessment,Argumentative Conventions,
inf_org,ILEARN,uri://idoe.gov/ILEARN/Assessment,Informative Organization/Purpose,
inf_evid,ILEARN,uri://idoe.gov/ILEARN/Assessment,Informative Evidence/Development & Elaboration,
inf_conv,ILEARN,uri://idoe.gov/ILEARN/Assessment,Informative Conventions,
nar_org,ILEARN,uri://idoe.gov/ILEARN/Assessment,Narrative Organization/Purpose,
nar_evid,ILEARN,uri://idoe.gov/ILEARN/Assessment,Narrative Evidence/Development & Elaboration,
nar_conv,ILEARN,uri://idoe.gov/ILEARN/Assessment,Narrative Conventions,
op_org,ILEARN,uri://idoe.gov/ILEARN/Assessment,Opinion Organization/Purpose,
op_evid,ILEARN,uri://idoe.gov/ILEARN/Assessment,Opinion Evidence/Development & Elaboration,
op_conv,ILEARN,uri://idoe.gov/ILEARN/Assessment,Opinion Conventions,
expl_org,ILEARN,uri://idoe.gov/ILEARN/Assessment,Explanatory Organization/Purpose,
expl_evid,ILEARN,uri://idoe.gov/ILEARN/Assessment,Explanatory Evidence/Development & Elaboration,
expl_conv,ILEARN,uri://idoe.gov/ILEARN/Assessment,Explanatory Conventions,
