assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor,academicSubject,isCheckpoint
ILEARN-ELA,ILEARN-ELA,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,English/Language Arts,False
ILEARN-Math,ILEARN-Math,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,Mathematics,False
ILEARN-SS,ILEARN-SS,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History,Social Studies,False
ILEARN-Sci,ILEARN-Sci,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Science,Science,False
ILEARN-Bio,ILEARN-Bio,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#Biology,Biology,False
ILEARN-USG,ILEARN-USG,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#State assessment,uri://ed-fi.org/AcademicSubjectDescriptor#U.S. Government,U.S. Government,False
ILEARN-CP-ELA,ILEARN-CP-ELA,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts,English/Language Arts,True
ILEARN-CP-Math,ILEARN-CP-Math,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,Mathematics,True
ILEARN-CP-SS,ILEARN-CP-SS,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History,Social Studies,True
ILEARN-CP-Sci,ILEARN-CP-Sci,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,uri://ed-fi.org/AcademicSubjectDescriptor#Science,Science,True
ILEARN-CP-Bio,ILEARN-CP-Bio,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,uri://ed-fi.org/AcademicSubjectDescriptor#Biology,Biology,True
ILEARN-CP-USG,ILEARN-CP-USG,ILEARN,uri://doe.in.gov/ILEARN/Assessment,uri://ed-fi.org/AssessmentCategoryDescriptor#Interim,uri://ed-fi.org/AcademicSubjectDescriptor#U.S. Government,U.S. Government,True
