gradeLevel,assessmentIdentifier,gradeLevelDescriptor
3,ILEARN-ELA,uri://doe.in.gov/GradeLevelDescriptor#03
4,ILEARN-ELA,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-ELA,uri://doe.in.gov/GradeLevelDescriptor#05
6,ILEARN-ELA,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-ELA,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-ELA,uri://doe.in.gov/GradeLevelDescriptor#08
8,ILEARN-ELA,uri://doe.in.gov/GradeLevelDescriptor#09
3,ILEARN-Math,uri://doe.in.gov/GradeLevelDescriptor#03
4,ILEARN-Math,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-Math,uri://doe.in.gov/GradeLevelDescriptor#05
6,ILEARN-Math,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-Math,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-Math,uri://doe.in.gov/GradeLevelDescriptor#08
8,ILEARN-Math,uri://doe.in.gov/GradeLevelDescriptor#09
5,ILEARN-SS,uri://doe.in.gov/GradeLevelDescriptor#03
5,ILEARN-SS,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-SS,uri://doe.in.gov/GradeLevelDescriptor#05
4,ILEARN-Sci,uri://doe.in.gov/GradeLevelDescriptor#04
6,ILEARN-Sci,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-Bio,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-Bio,uri://doe.in.gov/GradeLevelDescriptor#08
9,ILEARN-Bio,uri://doe.in.gov/GradeLevelDescriptor#09
10,ILEARN-Bio,uri://doe.in.gov/GradeLevelDescriptor#10
11,ILEARN-Bio,uri://doe.in.gov/GradeLevelDescriptor#11
12,ILEARN-Bio,uri://doe.in.gov/GradeLevelDescriptor#12
9,ILEARN-USG,uri://doe.in.gov/GradeLevelDescriptor#09
10,ILEARN-USG,uri://doe.in.gov/GradeLevelDescriptor#10
11,ILEARN-USG,uri://doe.in.gov/GradeLevelDescriptor#11
12,ILEARN-USG,uri://doe.in.gov/GradeLevelDescriptor#12
5,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#03
5,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#05
4,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#04
6,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#08
9,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#09
10,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#10
11,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#11
12,ILEARN-CP-SS,uri://doe.in.gov/GradeLevelDescriptor#12
5,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#03
5,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#05
4,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#04
6,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#08
9,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#09
10,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#10
11,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#11
12,ILEARN-CP-ELA,uri://doe.in.gov/GradeLevelDescriptor#12
5,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#03
5,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#05
4,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#04
6,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#08
9,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#09
10,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#10
11,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#11
12,ILEARN-CP-Math,uri://doe.in.gov/GradeLevelDescriptor#12
5,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#03
5,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#05
4,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#04
6,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#08
9,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#09
10,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#10
11,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#11
12,ILEARN-CP-Sci,uri://doe.in.gov/GradeLevelDescriptor#12
5,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#03
5,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#05
4,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#04
6,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#08
9,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#09
10,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#10
11,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#11
12,ILEARN-CP-Bio,uri://doe.in.gov/GradeLevelDescriptor#12
5,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#03
5,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#04
5,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#05
4,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#04
6,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#06
7,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#07
8,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#08
9,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#09
10,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#10
11,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#11
12,ILEARN-CP-USG,uri://doe.in.gov/GradeLevelDescriptor#12
