identificationCode,assessmentIdentifier,namespace,description,parentIdentificationCode
RC1_performance,ILEARN-Math,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 1 Performance,
RC2_performance,ILEARN-Math,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 2 Performance,
RC3_performance,ILEARN-Math,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 3 Performance,
RC4_performance,ILEARN-Math,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 4 Performance,
RC5_performance,ILEARN-Math,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 5 Performance,
RC1_performance,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 1 Performance,
RC2_performance,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 2 Performance,
RC3_performance,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 3 Performance,
RC4_performance,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 4 Performance,
RC5_performance,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 5 Performance,
RC1_performance,ILEARN-SS,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 1 Performance,
RC2_performance,ILEARN-SS,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 2 Performance,
RC3_performance,ILEARN-SS,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 3 Performance,
RC4_performance,ILEARN-SS,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 4 Performance,
RC5_performance,ILEARN-SS,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 5 Performance,
RC1_performance,ILEARN-Sci,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 1 Performance,
RC2_performance,ILEARN-Sci,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 2 Performance,
RC3_performance,ILEARN-Sci,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 3 Performance,
RC4_performance,ILEARN-Sci,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 4 Performance,
RC5_performance,ILEARN-Sci,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 5 Performance,
RC1_performance,ILEARN-Bio,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 1 Performance,
RC2_performance,ILEARN-Bio,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 2 Performance,
RC3_performance,ILEARN-Bio,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 3 Performance,
RC4_performance,ILEARN-Bio,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 4 Performance,
RC5_performance,ILEARN-Bio,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 5 Performance,
RC1_performance,ILEARN-USG,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 1 Performance,
RC2_performance,ILEARN-USG,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 2 Performance,
RC3_performance,ILEARN-USG,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 3 Performance,
RC4_performance,ILEARN-USG,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 4 Performance,
RC5_performance,ILEARN-USG,uri://idoe.gov/assessment/ILEARN,ILEARN Reporting Category 5 Performance,
arg_org,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Argumentative Organization/Purpose,
arg_evid,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Argumentative Evidence/Development & Elaboration,
arg_conv,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Argumentative Conventions,
inf_org,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Informative Organization/Purpose,
inf_evid,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Informative Evidence/Development & Elaboration,
inf_conv,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Informative Conventions,
nar_org,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Narrative Organization/Purpose,
nar_evid,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,"Narrative Evidence/Development & Elaboration",
nar_conv,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,"Narrative Conventions",
op_org,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Opinion Organization/Purpose,
op_evid,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Opinion Evidence/Development & Elaboration,
op_conv,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Opinion Conventions,
expl_org,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Explanatory Organization/Purpose,
expl_evid,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Explanatory Evidence/Development & Elaboration,
expl_conv,ILEARN-ELA,uri://idoe.gov/assessment/ILEARN,Explanatory Conventions,
