namespace,codeValue,description,shortDescription
uri://idoe.gov/PerformanceLevelDescriptor,Below Proficiency,Below Proficiency,Below Proficiency
uri://idoe.gov/PerformanceLevelDescriptor,At Proficiency,At Proficiency,At Proficiency
uri://idoe.gov/PerformanceLevelDescriptor,Above Proficiency,Above Proficiency,Above Proficiency
uri://idoe.gov/PerformanceLevelDescriptor,Approaching Proficiency,Approaching Proficiency,Approaching Proficiency
uri://idoe.gov/PerformanceLevelDescriptor,Yes,Yes,Yes
uri://idoe.gov/PerformanceLevelDescriptor,No,No,No
uri://idoe.gov/PerformanceLevelDescriptor,Above,Above,Above
uri://idoe.gov/PerformanceLevelDescriptor,Below,Below,Below
uri://idoe.gov/PerformanceLevelDescriptor,At/Near,At/Near,At/Near
uri://idoe.gov/PerformanceLevelDescriptor,UND,Undetermined,Undetermined
uri://idoe.gov/PerformanceLevelDescriptor,N/A,Not Applicable,Not Applicable
uri://idoe.gov/PerformanceLevelDescriptor,Invalidated,Invalidated,Invalidated
uri://idoe.gov/PerformanceLevelDescriptor,1,1,1
uri://idoe.gov/PerformanceLevelDescriptor,2,2,2
uri://idoe.gov/PerformanceLevelDescriptor,3,3,3
uri://idoe.gov/PerformanceLevelDescriptor,4,4,4
uri://idoe.gov/PerformanceLevelDescriptor,Blank,Blank,Blank
uri://idoe.gov/PerformanceLevelDescriptor,Non-Scorable Language,Non-Scorable Language,Non-Scorable Language
uri://idoe.gov/PerformanceLevelDescriptor,Insufficient,Insufficient,Insufficient
uri://idoe.gov/PerformanceLevelDescriptor,Off Purpose,Off Purpose,Off Purpose
uri://idoe.gov/PerformanceLevelDescriptor,Off Topic,Off Topic,Off Topic
uri://idoe.gov/PerformanceLevelDescriptor,Illegible,Illegible,Illegible
