namespace,codeValue,description,shortDescription
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,Pass,Pass,Pass
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,Did Not Pass,Did Not Pass,Did Not Pass
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,At Risk,At Risk,At Risk
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,On Track,On Track,On Track
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,Below,Below,Below
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,At/Near,At/Near,At/Near
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,Above,Above,Above
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,UND,Undetermined,Undetermined
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,Invalidated,Invalidated,Invalidated
uri://doe.in.gov/IREAD-3/Assessment/PerformanceLevelDescriptor,Insufficient to Score,Insufficient to Score,Insufficient to Score
