start_index,end_index,column_name
0,30,Order_Number
30,38,Test
38,68,State_Name
68,98,Region_Name
98,113,Region_Code
113,143,System_Name
143,158,System_Code
158,188,District_Name
188,203,District_Code
203,233,Building_Name
233,248,Building_Code
248,278,Class_Name
278,293,Class_Code
293,295,Class_Grade
295,303,Date_Tested
303,323,Student_Last_Name
323,343,Student_First_Name
343,363,Student_NameMiddle_Initial
363,403,GUID
403,414,Student_ID
414,434,Secondary_Student_ID
434,435,Gender
435,443,Date_of_Birth
443,447,Age_in_Months
447,451,Age_in_Years_Months
451,465,Ethnicity_String
465,466,Filler0
466,467,Battery
467,469,Level
469,470,Form
470,472,Norm_Year
472,479,Quartermonth
479,480,Semester
480,481,Home_Reporting
481,502,Programs_String
502,505,Other_Info_Field_1_Value
505,508,Other_Info_Field_2_Value
508,511,Other_Info_Field_3_Value
511,514,Other_Info_Field_4_Value
514,515,Filler1
515,516,Office_Use_Subtest_Exclusion__reading
516,517,Office_Use_Subtest_Exclusion__vocabulary
517,518,Office_Use_Subtest_Exclusion__spelling
518,519,Office_Use_Subtest_Exclusion__capitalization
519,520,Office_Use_Subtest_Exclusion__punctuation
520,521,Office_Use_Subtest_Exclusion__language_written_expression
521,522,Office_Use_Subtest_Exclusion__conventions_of_writing
522,523,Office_Use_Subtest_Exclusion__ela_total
523,524,Office_Use_Subtest_Exclusion__word_analysis
524,525,Office_Use_Subtest_Exclusion__listening
525,526,Office_Use_Subtest_Exclusion__extended_ela_total
526,527,Office_Use_Subtest_Exclusion__math
527,528,Office_Use_Subtest_Exclusion__computation
528,529,Office_Use_Subtest_Exclusion__math_total
529,530,Office_Use_Subtest_Exclusion__core_composite
530,531,Office_Use_Subtest_Exclusion__core_composite_extended_ela
531,532,Office_Use_Subtest_Exclusion__core_composite_no_comp
532,533,Office_Use_Subtest_Exclusion__core_composite_extended_ela_no_comp
533,534,Office_Use_Subtest_Exclusion__social_studies
534,535,Office_Use_Subtest_Exclusion__science
535,536,Office_Use_Subtest_Exclusion__complete_composite
536,537,Office_Use_Subtest_Exclusion__complete_composite_extended_ela
537,538,Office_Use_Subtest_Exclusion__complete_composite_no_comp
538,539,Office_Use_Subtest_Exclusion__complete_composite_extended_ela_no_comp
539,540,Office_Use_Subtest_Exclusion__reading_words
540,541,Office_Use_Subtest_Exclusion__reading_comprehension
541,542,Office_Use_Subtest_Exclusion__reading_total
542,543,Office_Use_Subtest_Exclusion__language_total
545,546,Filler2
546,547,Office_Use_Only_Z_Value
547,567,Code_Character_String_A_T
567,577,Filler3
577,578,Test_Administrator_Use_A_Value
578,588,Filler4
588,589,Test_Administrator_Use_B_Value
589,599,Filler5
599,600,Test_Administrator_Use_C_Value
600,610,Filler6
610,611,Test_Administrator_Use_D_Value
611,621,Filler7
621,622,Test_Administrator_Use_E_Value
622,632,Filler8
632,633,Test_Administrator_Use_F_Value
633,635,Test_Administrator_Use_G_Value
635,637,Test_Administrator_Use_H_Value
637,639,Test_Administrator_Use_I_Value
639,641,Test_Administrator_Use_J_Value
641,643,Test_Administrator_Use_K_Value
643,645,Test_Administrator_Use_L_Value
645,647,Test_Administrator_Use_M_Value
647,657,Filler9
657,658,Test_Administrator_Use_N_Value
658,668,Filler10
668,669,Test_Administrator_Use_O_Value
669,679,Filler11
679,680,Test_Administrator_Use_P_Value
680,690,Filler12
690,691,Test_Administrator_Use_Q_Value
691,701,Filler13
701,702,Test_Administrator_Use_R_Value
702,712,Filler14
712,713,Test_Administrator_Use_S_Value
713,753,Filler15
753,755,Number_Attempted_NA__reading
755,757,Number_Attempted_NA__vocabulary
757,759,Number_Attempted_NA__spelling
759,761,Number_Attempted_NA__capitalization
761,763,Number_Attempted_NA__punctuation
763,765,Number_Attempted_NA__language_written_expression
765,767,Number_Attempted_NA__conventions_of_writing
767,769,Number_Attempted_NA__ela_total
769,771,Number_Attempted_NA__word_analysis
771,773,Number_Attempted_NA__listening
773,775,Number_Attempted_NA__extended_ela_total
775,777,Number_Attempted_NA__math
777,779,Number_Attempted_NA__computation
779,781,Number_Attempted_NA__math_total
781,783,Number_Attempted_NA__core_composite
783,785,Number_Attempted_NA__core_composite_extended_ela
785,787,Number_Attempted_NA__core_composite_no_comp
787,789,Number_Attempted_NA__core_composite_extended_ela_no_comp
789,791,Number_Attempted_NA__social_studies
791,793,Number_Attempted_NA__science
793,795,Number_Attempted_NA__complete_composite
795,797,Number_Attempted_NA__complete_composite_extended_ela
797,799,Number_Attempted_NA__complete_composite_no_comp
799,801,Number_Attempted_NA__complete_composite_extended_ela_no_comp
801,803,Number_Attempted_NA__reading_words
803,805,Number_Attempted_NA__reading_comprehension
805,807,Number_Attempted_NA__reading_total
807,809,Number_Attempted_NA__language_total
813,814,Completion_Criteria_CC__reading
814,815,Completion_Criteria_CC__vocabulary
815,816,Completion_Criteria_CC__spelling
816,817,Completion_Criteria_CC__capitalization
817,818,Completion_Criteria_CC__punctuation
818,819,Completion_Criteria_CC__language_written_expression
819,820,Completion_Criteria_CC__conventions_of_writing
820,821,Completion_Criteria_CC__ela_total
821,822,Completion_Criteria_CC__word_analysis
822,823,Completion_Criteria_CC__listening
823,824,Completion_Criteria_CC__extended_ela_total
824,825,Completion_Criteria_CC__math
825,826,Completion_Criteria_CC__computation
826,827,Completion_Criteria_CC__math_total
827,828,Completion_Criteria_CC__core_composite
828,829,Completion_Criteria_CC__core_composite_extended_ela
829,830,Completion_Criteria_CC__core_composite_no_comp
830,831,Completion_Criteria_CC__core_composite_extended_ela_no_comp
831,832,Completion_Criteria_CC__social_studies
832,833,Completion_Criteria_CC__science
833,834,Completion_Criteria_CC__complete_composite
834,835,Completion_Criteria_CC__complete_composite_extended_ela
835,836,Completion_Criteria_CC__complete_composite_no_comp
836,837,Completion_Criteria_CC__complete_composite_extended_ela_no_comp
837,838,Completion_Criteria_CC__reading_words
838,839,Completion_Criteria_CC__reading_comprehension
839,840,Completion_Criteria_CC__reading_total
840,841,Completion_Criteria_CC__language_total
843,845,Raw_Score_RS__reading
845,847,Raw_Score_RS__vocabulary
847,849,Raw_Score_RS__spelling
849,851,Raw_Score_RS__capitalization
851,853,Raw_Score_RS__punctuation
853,855,Raw_Score_RS__language_written_expression
855,857,Raw_Score_RS__conventions_of_writing
857,859,Raw_Score_RS__ela_total
859,861,Raw_Score_RS__word_analysis
861,863,Raw_Score_RS__listening
863,865,Raw_Score_RS__extended_ela_total
865,867,Raw_Score_RS__math
867,869,Raw_Score_RS__computation
869,871,Raw_Score_RS__math_total
871,873,Raw_Score_RS__core_composite
873,875,Raw_Score_RS__core_composite_extended_ela
875,877,Raw_Score_RS__core_composite_no_comp
877,879,Raw_Score_RS__core_composite_extended_ela_no_comp
879,881,Raw_Score_RS__social_studies
881,883,Raw_Score_RS__science
883,885,Raw_Score_RS__complete_composite
885,887,Raw_Score_RS__complete_composite_extended_ela
887,889,Raw_Score_RS__complete_composite_no_comp
889,891,Raw_Score_RS__complete_composite_extended_ela_no_comp
891,893,Raw_Score_RS__reading_words
893,895,Raw_Score_RS__reading_comprehension
895,897,Raw_Score_RS__reading_total
897,899,Raw_Score_RS__language_total
903,906,Standard_Score_SS__reading
906,909,Standard_Score_SS__vocabulary
909,912,Standard_Score_SS__spelling
912,915,Standard_Score_SS__capitalization
915,918,Standard_Score_SS__punctuation
918,921,Standard_Score_SS__language_written_expression
921,924,Standard_Score_SS__conventions_of_writing
924,927,Standard_Score_SS__ela_total
927,930,Standard_Score_SS__word_analysis
930,933,Standard_Score_SS__listening
933,936,Standard_Score_SS__extended_ela_total
936,939,Standard_Score_SS__math
939,942,Standard_Score_SS__computation
942,945,Standard_Score_SS__math_total
945,948,Standard_Score_SS__core_composite
948,951,Standard_Score_SS__core_composite_extended_ela
951,954,Standard_Score_SS__core_composite_no_comp
954,957,Standard_Score_SS__core_composite_extended_ela_no_comp
957,960,Standard_Score_SS__social_studies
960,963,Standard_Score_SS__science
963,966,Standard_Score_SS__complete_composite
966,969,Standard_Score_SS__complete_composite_extended_ela
969,972,Standard_Score_SS__complete_composite_no_comp
972,975,Standard_Score_SS__complete_composite_extended_ela_no_comp
975,978,Standard_Score_SS__reading_words
978,981,Standard_Score_SS__reading_comprehension
981,984,Standard_Score_SS__reading_total
984,987,Standard_Score_SS__language_total
993,997,Grade_Equivalent_GE__reading
997,1001,Grade_Equivalent_GE__vocabulary
1001,1005,Grade_Equivalent_GE__spelling
1005,1009,Grade_Equivalent_GE__capitalization
1009,1013,Grade_Equivalent_GE__punctuation
1013,1017,Grade_Equivalent_GE__language_written_expression
1017,1021,Grade_Equivalent_GE__conventions_of_writing
1021,1025,Grade_Equivalent_GE__ela_total
1025,1029,Grade_Equivalent_GE__word_analysis
1029,1033,Grade_Equivalent_GE__listening
1033,1037,Grade_Equivalent_GE__extended_ela_total
1037,1041,Grade_Equivalent_GE__math
1041,1045,Grade_Equivalent_GE__computation
1045,1049,Grade_Equivalent_GE__math_total
1049,1053,Grade_Equivalent_GE__core_composite
1053,1057,Grade_Equivalent_GE__core_composite_extended_ela
1057,1061,Grade_Equivalent_GE__core_composite_no_comp
1061,1065,Grade_Equivalent_GE__core_composite_extended_ela_no_comp
1065,1069,Grade_Equivalent_GE__social_studies
1069,1073,Grade_Equivalent_GE__science
1073,1077,Grade_Equivalent_GE__complete_composite
1077,1081,Grade_Equivalent_GE__complete_composite_extended_ela
1081,1085,Grade_Equivalent_GE__complete_composite_no_comp
1085,1089,Grade_Equivalent_GE__complete_composite_extended_ela_no_comp
1089,1093,Grade_Equivalent_GE__reading_words
1093,1097,Grade_Equivalent_GE__reading_comprehension
1097,1101,Grade_Equivalent_GE__reading_total
1101,1105,Grade_Equivalent_GE__language_total
1113,1203,Filler16
1203,1205,National_Percentile_Rank_NPR__reading
1205,1207,National_Percentile_Rank_NPR__vocabulary
1207,1209,National_Percentile_Rank_NPR__spelling
1209,1211,National_Percentile_Rank_NPR__capitalization
1211,1213,National_Percentile_Rank_NPR__punctuation
1213,1215,National_Percentile_Rank_NPR__language_written_expression
1215,1217,National_Percentile_Rank_NPR__conventions_of_writing
1217,1219,National_Percentile_Rank_NPR__ela_total
1219,1221,National_Percentile_Rank_NPR__word_analysis
1221,1223,National_Percentile_Rank_NPR__listening
1223,1225,National_Percentile_Rank_NPR__extended_ela_total
1225,1227,National_Percentile_Rank_NPR__math
1227,1229,National_Percentile_Rank_NPR__computation
1229,1231,National_Percentile_Rank_NPR__math_total
1231,1233,National_Percentile_Rank_NPR__core_composite
1233,1235,National_Percentile_Rank_NPR__core_composite_extended_ela
1235,1237,National_Percentile_Rank_NPR__core_composite_no_comp
1237,1239,National_Percentile_Rank_NPR__core_composite_extended_ela_no_comp
1239,1241,National_Percentile_Rank_NPR__social_studies
1241,1243,National_Percentile_Rank_NPR__science
1243,1245,National_Percentile_Rank_NPR__complete_composite
1245,1247,National_Percentile_Rank_NPR__complete_composite_extended_ela
1247,1249,National_Percentile_Rank_NPR__complete_composite_no_comp
1249,1251,National_Percentile_Rank_NPR__complete_composite_extended_ela_no_comp
1251,1253,National_Percentile_Rank_NPR__reading_words
1253,1255,National_Percentile_Rank_NPR__reading_comprehension
1255,1257,National_Percentile_Rank_NPR__reading_total
1257,1259,National_Percentile_Rank_NPR__language_total
1263,1323,Filler17
1323,1325,National_Curve_Equivalent_NCE__reading
1325,1327,National_Curve_Equivalent_NCE__vocabulary
1327,1329,National_Curve_Equivalent_NCE__spelling
1329,1331,National_Curve_Equivalent_NCE__capitalization
1331,1333,National_Curve_Equivalent_NCE__punctuation
1333,1335,National_Curve_Equivalent_NCE__language_written_expression
1335,1337,National_Curve_Equivalent_NCE__conventions_of_writing
1337,1339,National_Curve_Equivalent_NCE__ela_total
1339,1341,National_Curve_Equivalent_NCE__word_analysis
1341,1343,National_Curve_Equivalent_NCE__listening
1343,1345,National_Curve_Equivalent_NCE__extended_ela_total
1345,1347,National_Curve_Equivalent_NCE__math
1347,1349,National_Curve_Equivalent_NCE__computation
1349,1351,National_Curve_Equivalent_NCE__math_total
1351,1353,National_Curve_Equivalent_NCE__core_composite
1353,1355,National_Curve_Equivalent_NCE__core_composite_extended_ela
1355,1357,National_Curve_Equivalent_NCE__core_composite_no_comp
1357,1359,National_Curve_Equivalent_NCE__core_composite_extended_ela_no_comp
1359,1361,National_Curve_Equivalent_NCE__social_studies
1361,1363,National_Curve_Equivalent_NCE__science
1363,1365,National_Curve_Equivalent_NCE__complete_composite
1365,1367,National_Curve_Equivalent_NCE__complete_composite_extended_ela
1367,1369,National_Curve_Equivalent_NCE__complete_composite_no_comp
1369,1371,National_Curve_Equivalent_NCE__complete_composite_extended_ela_no_comp
1371,1373,National_Curve_Equivalent_NCE__reading_words
1373,1375,National_Curve_Equivalent_NCE__reading_comprehension
1375,1377,National_Curve_Equivalent_NCE__reading_total
1377,1379,National_Curve_Equivalent_NCE__language_total
1383,1384,National_Stanine_NS__reading
1384,1385,National_Stanine_NS__vocabulary
1385,1386,National_Stanine_NS__spelling
1386,1387,National_Stanine_NS__capitalization
1387,1388,National_Stanine_NS__punctuation
1388,1389,National_Stanine_NS__language_written_expression
1389,1390,National_Stanine_NS__conventions_of_writing
1390,1391,National_Stanine_NS__ela_total
1391,1392,National_Stanine_NS__word_analysis
1392,1393,National_Stanine_NS__listening
1393,1394,National_Stanine_NS__extended_ela_total
1394,1395,National_Stanine_NS__math
1395,1396,National_Stanine_NS__computation
1396,1397,National_Stanine_NS__math_total
1397,1398,National_Stanine_NS__core_composite
1398,1399,National_Stanine_NS__core_composite_extended_ela
1399,1400,National_Stanine_NS__core_composite_no_comp
1400,1401,National_Stanine_NS__core_composite_extended_ela_no_comp
