codeValue,description,namespace,shortDescription
Online desktop or laptop,Online desktop or laptop,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Online desktop or laptop
Online tablet,Online tablet,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Online tablet
Braille,Braille,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Braille
Large Print,Large Print,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Large Print
Proctor led,Proctor led,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Proctor led
Self-paced,Self-paced,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Self-paced
Audio Type,Audio Type,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Audio Type
English Language Administration,English Language Administration,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,English Language Administration
Spanish Language Administration,Spanish Language Administration,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Spanish Language Administration
Extended Time,Extended Time,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Extended Time
Reserved for future,Reserved for future,uri://www.riversideinsights.com/Iowa_Assessments/AccommodationDescriptor,Reserved for future
