isPerformanceLevel,codeValue,description,namespace,shortDescription,datatype
0,Number Attempted,Number Attempted (NA),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Number Attempted (NA),Integer
1,Completion Criteria,Completion Criteria (CC),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Completion Criteria (CC),Level
0,Raw Score,Raw Score (RS),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Raw Score (RS),Integer
0,Standard Score,Standard Score (SS),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Standard Score (SS),Integer
0,Grade Equivalent,Grade Equivalent (GE),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Grade Equivalent (GE),Decimal
0,National Percentile Rank,National Percentile Rank (NPR),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,National Percentile Rank (NPR),Percentile
0,National Curve Equivalent,National Curve Equivalent (NCE),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,National Curve Equivalent (NCE),Percentile
0,National Stanine,National Stanine (NS),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,National Stanine (NS),Integer
0,Predicted Standard Score,Predicted Standard Score (PSS),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted Standard Score (PSS),Integer
0,Predicted Grade Equivalent,Predicted Grade Equivalent (PGE),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted Grade Equivalent (PGE),Decimal
0,Predicted National Percentile Rank,Predicted National Percentile Rank (PNPR),<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted National Percentile Rank (PNPR),Percentile
0,Predicted Standard Score Diffs,Predicted Standard Score Diffs,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted Standard Score Diffs,Integer
0,Predicted Grade Equivalent Diffs,Predicted Grade Equivalent Diffs,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted Grade Equivalent Diffs,Decimal
0,Local Percentile Rank,Local Percentile Rank,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Local Percentile Rank,Percentile
0,Local Stanine,Local Stanine,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Local Stanine,Integer
0,Predicted SAT Critical Reading High,Predicted SAT Critical Reading High,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted SAT Critical Reading High,Integer
0,Predicted SAT Critical Reading Low,Predicted SAT Critical Reading Low,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted SAT Critical Reading Low,Integer
0,Predicted SAT Math High,Predicted SAT Math High,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted SAT Math High,Integer
0,Predicted SAT Math Low,Predicted SAT Math Low,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted SAT Math Low,Integer
0,Predicted ACT Composite High,Predicted ACT Composite High,<NAMESPACE_PREFIX>/Iowa_Assessments/AssessmentReportingMethodDescriptor,Predicted ACT Composite High,Integer
