Battery,battery_definition,Form,Level,assessmentIdentifier,assessmentTitle,assessmentFamily,namespace,assessmentCategoryDescriptor,academicSubjectDescriptor
S,Survey,G,14,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,13,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,12,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,11,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,10,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,9,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,8,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,7,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,6,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
S,Survey,G,5,IOWA-Survey,IOWA-Survey,Iowa Assessments,<NAMESPACE_PREFIX>/IOWA-Survey,<NAMESPACE_PREFIX>/AssessmentCategoryDescriptor#Achievement Test,<NAMESPACE_PREFIX>/AcademicSubjectDescriptor#Composite
