identification_code,description,namespace
FNL,Nombrar letras (FNL),uri://amplify.com/programs/mclass-lectura
FSS,Conciencia fonologica (FSS),uri://amplify.com/programs/mclass-lectura
QQ,Conciencia fonologica (QQ),uri://amplify.com/programs/mclass-lectura
FSL,Sonidos de letras (FSL),uri://amplify.com/programs/mclass-lectura
FSL K-Inicio,Sonidos de letras (FSL K-Inicio),uri://amplify.com/programs/mclass-lectura
LSS,Decodificacion (LSS),uri://amplify.com/programs/mclass-lectura
FEP,Lectura de palabras (FEP),uri://amplify.com/programs/mclass-lectura
FLO,Fluidez en la lectura (FLO),uri://amplify.com/programs/mclass-lectura
FLO-Prec,Precision en la lectura (FLO-Prec),uri://amplify.com/programs/mclass-lectura
CP,Comprension basica (CP),uri://amplify.com/programs/mclass-lectura
