codeValue,description,namespace,shortDescription
Well Below Benchmark,Well Below Benchmark,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,Well Below Benchmark
Below Benchmark,Below Benchmark,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,Below Benchmark
At Benchmark,At Benchmark,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,At Benchmark
Above Benchmark,Above Benchmark,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,Above Benchmark
At or Above Benchmark,At or Above Benchmark,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,At or Above Benchmark
Not Determined,Not Determined,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,Not Determined
Pass,Pass,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,Pass
No Pass,No Pass,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,No Pass
At Risk,At Risk,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,At Risk
Low Risk,Low Risk,uri://amplify.com/programs/mclass-lectura/PerformanceLevelDescriptor,Low Risk
