codeValue,description,namespace,shortDescription
Start Grade Level of Material,The grade level of material (GLM) in which the student began the program in this school year.,uri://www.lexialearning.com,Start Grade Level of Material
Start Lexia Level,The program level in which the student began the program in this school year.,uri://www.lexialearning.com,Start Lexia Level
Start Status,Numerical code representing the student’s position in the program when he/ she started the program compared to his/her grade level: 0=working in material at grade level; 1= working in material 1 grade above; 2=working in material 2 grades above; -1=working in material 1 grade below; -2=working in material 2 grades below etc.,uri://www.lexialearning.com,Start Status
Start Status Label,Categorization based on student’s Start Status: 2+ Below=working in material 2 or more grade levels below; 1 Below=working in material 1 grade level below; In Student Grade=working in material in the student’s grade; Above Student Grade=working in material above student’s grade level,uri://www.lexialearning.com,Start Status Label
Current Grade Level of Material,The student’s grade level of material at the time of the export.,uri://www.lexialearning.com,Current Grade Level of Material
Current Lexia Level,The student’s current program level at the time of the export.,uri://www.lexialearning.com,Current Lexia Level
Current Lexia Level Percent,The student’s percent through the current Lexia level.,uri://www.lexialearning.com,Current Lexia Level Percent
Current Status,Numerical code representing the student’s current position in the program com- pared to his/her Grade level. 0=working in material at grade level; 1= working in material 1 grade above; 2=working in material 2 grades above; -1=working in material 1 grade below; -2=working in material 2 grades below etc.,uri://www.lexialearning.com,Current Status
Current Status Label,Categorization based on student’s Current Status. 2+ Below=working in material 2 or more grade levels below; 1 Below=working in material 1 grade level below; In Student Grade=working in material in the student’s grade; Above Student Grade=working in material above student’s grade level,uri://www.lexialearning.com,Current Status Label
Met Benchmark,A flag that notes whether a student Met Benchmark at the end of year. (Meeting benchmark means 100% completing the final level of student’s grade-level). 0=Did not meet benchmark; 1=Met benchmark,uri://www.lexialearning.com,Met Benchmark
Grade Levels of Material Gained YTD,The difference between the student’s current grade level of material and Start grade level of material. 0=No change in GLM; 1=End GLM is one grade level above Start GLM etc.,uri://www.lexialearning.com,Grade Levels of Material Gained YTD
Levels Completed YTD,# of levels completed in the program since the start of the school year.,uri://www.lexialearning.com,Levels Completed YTD
Activities Completed YTD,# of activities completed in the program since the start of the school year.,uri://www.lexialearning.com,Activities Completed YTD
Units Completed YTD,# of units the student completed in the program since the start of the school year.,uri://www.lexialearning.com,Units Completed YTD
Weeks of Use YTD,# of weeks the student used the program since the start of the school year.,uri://www.lexialearning.com,Weeks of Use YTD
Weekly Average,The average number of minutes the student spent on the program per week (calculated from all of the student’s weeks of use in the school year).,uri://www.lexialearning.com,Weekly Average
Target Average,The average number of minutes prescribed to this student as a usage target.,uri://www.lexialearning.com,Target Average
