assessment_identifier,grade_descriptor
Core5,uri://ed-fi.org/GradeLevelDescriptor#Early Education
Core5,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
Core5,uri://ed-fi.org/GradeLevelDescriptor#First grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Second grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Third grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
Core5,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
