codeValue,description,namespace,shortDescription
High,High accuracy on the activity,uri://www.lexialearning.com,High
Medium,Medium accuracy on the activity,uri://www.lexialearning.com,Medium
Low,Low accuracy on the activity,uri://www.lexialearning.com,Low
Fast,Fast rate in the activity,uri://www.lexialearning.com,Fast
Average,Average rate in the activity,uri://www.lexialearning.com,Average
Slow,Slow rate in the activity,uri://www.lexialearning.com,Slow
High Risk,High risk based on Performance Predictor,uri://www.lexialearning.com,High Risk
Some Risk,Some risk based on Performance Predictor,uri://www.lexialearning.com,Some Risk
On Target,On target based on Performance Predictor,uri://www.lexialearning.com,On Target
Yes,Indicator is true,uri://www.lexialearning.com,Yes
No,Indicator is false,uri://www.lexialearning.com,No
