codeValue,description,namespace,shortDescription,data_type,is_deprecated,score_or_performance
Term Name,Term Name,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Term Name,level,FALSE,performance
School Name,School Name,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,School Name,level, FALSE,performance
Assigned Test Type,Assigned Test Type,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Assigned Test Type,level,FALSE,performance
Result Type,Result Type,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Result Type,level,FALSE,performance
Test Completion Date,Test Completion Date,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Test Completion Date,level,FALSE,performance
Performance Level,Performance Level,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Performance Level,level,FALSE,performance
ZPD Level,ZPD Level,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,ZPD Level,level,FALSE,performance
ZPD Name,ZPD Name,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,ZPD Name,level,FALSE,performance
Score,Score,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Score,integer,FALSE,score
Domain Score,Domain Score,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Domain Score,integer,FALSE,score
Test Percentile,Test Percentile,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Test Percentile,integer,FALSE,score
Correct,Correct,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Correct,integer,FALSE,score
Attempted,Attempted,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Attempted,integer,FALSE,score
WCPM,WCPM,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,WCPM,integer,FALSE,score
Oral Reading Accuracy Score,Oral Reading Accuracy Score,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Oral Reading Accuracy Score,integer,FALSE,score
Literal Comprehension Score (Not Scored),Literal Comprehension Score (Not Scored),uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Literal Comprehension Score (Not Scored),level,FALSE,score
Dyslexia Screener Outcome,Dyslexia Screener Outcome,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Dyslexia Screener Outcome,level,FALSE,score
Universal Screener Outcome,Universal Screener Outcome,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,Universal Screener Outcome,level,FALSE,score
