codeValue,description,namespace,shortDescription,column_name,data_type,is_deprecated,score_or_performance
Term Name,Term Name,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Term Name,TermName,Level,False,score
Course,Specific RIT scale that applies  to the associated test.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Measurement Scale,MeasurementScale,Level,True,score
Course,Specific RIT scale that applies  to the associated test.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Measurement Scale,Course,Level,False,score
Growth Measure YN,"When more than one result record exists for a given student and test, only one record counts for growth reporting, marked TRUE.",uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Growth Measure YN,GrowthMeasureYN,Level,False,score
Test Name,Full name of the test.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Test Name,TestName,Level,False,score
Subject,Academic Subject,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Subject,Subject,Level,False,score
Test Duration Minutes,Test duration in minutes,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Test Duration Minutes,TestDurationMinutes,Integer,False,score
Percent Correct,Percent Correct,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Percent Correct,PercentCorrect,Integer,False,score
RIT Scale Score,Overall RIT score of the test,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Scale Score,TestRITScore,Integer,False,score
SEM,RIT score variance,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,SEM,TestStandardError,Decimal,False,score
Test Percentile,Student ranking percentile,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Test Percentile,TestPercentile,Integer,False,score
Achievement Quintile,Achievement Quintile,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Achievement Quintile,AchievementQuintile,Level,False,performance
Fall-To-Fall Projected Growth,Projected RIT growth from previous academic year fall term to the fall term chosen at export. Based on previous fall term RIT score and weeks of instruction.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Fall Projected Growth,FalltoFallProjectedGrowth,Integer,False,score
Fall-To-Fall Observed Growth,Actual growth from previous academic year fall term to the fall term chosen at export.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Fall Observed Growth,FalltoFallObservedGrowth,Integer,False,score
Fall-To-Fall Observed Growth SE,Standard Error associated with calculation for FalltoFallObservedGrowth.,uri://www.nwea.org/map/AssessmentReportingMethodDescriptor,Fall-To-Fall Observed Growth SE,FalltoFallObservedGrowthSE,Decimal,False,score
