assessmentIdentifier,edfi_descriptor
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#First grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Second grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MAP_Growth_Mathematics,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#First grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Second grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MAP_Growth_Reading,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MAP_Growth_Science,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
