assessmentIdentifier,edfi_descriptor
MVPA_alg1,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_algf,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_algi,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_biol,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_biof,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_eng1,uri://ed-fi.org/AcademicSubjectDescriptor#English
MVPA_eng2,uri://ed-fi.org/AcademicSubjectDescriptor#English
MVPA_eng3,uri://ed-fi.org/AcademicSubjectDescriptor#English
MVPA_malg,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_matk,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_mat1,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_mat2,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_mat3,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_mat4,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_mat5,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_mat6,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_mat7,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_mat8,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MVPA_reak,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_rea1,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_rea2,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_rea3,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_rea4,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_rea5,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_rea6,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_rea7,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_rea8,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MVPA_scik,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sci1,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sci2,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sci3,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sci4,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sci5,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sci6,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sci7,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sci8,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MVPA_sock,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_soc1,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_soc2,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_soc3,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_soc4,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_soc5,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_soc6,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_soc7,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_soc8,uri://ed-fi.org/AcademicSubjectDescriptor#Social Studies
MVPA_ushi,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
