assessmentIdentifier,edfi_descriptor
MVPA_alg1,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_algf,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_algi,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_biol,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_biof,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_eng1,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_eng2,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_eng3,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_malg,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_matk,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_mat1,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_mat2,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_mat3,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_mat4,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_mat5,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_mat6,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_mat7,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_mat8,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_reak,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_rea1,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_rea2,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_rea3,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_rea4,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_rea5,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_rea6,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_rea7,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_rea8,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_scik,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sci1,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sci2,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sci3,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sci4,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sci5,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sci6,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sci7,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sci8,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_sock,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_soc1,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_soc2,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_soc3,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_soc4,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_soc5,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_soc6,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_soc7,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_soc8,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
MVPA_ushi,uri://ed-fi.org/AssessmentCategoryDescriptor#Benchmark test
