assessmentIdentifier,assessmentTitle,assessmentFamily,namespace
MVPA_alg1,MVPA - Algebra 1,MVPA,uri://instructure.com
MVPA_algf,MVPA - Foundations of Alg1,MVPA,uri://instructure.com
MVPA_algi,MVPA - Intermediate Alg1,MVPA,uri://instructure.com
MVPA_biol,MVPA - Biology,MVPA,uri://instructure.com
MVPA_biof,MVPA - Foundations of Biology,MVPA,uri://instructure.com
MVPA_eng1,MVPA - English 1,MVPA,uri://instructure.com
MVPA_eng2,MVPA - English 2,MVPA,uri://instructure.com
MVPA_eng3,MVPA - English 3,MVPA,uri://instructure.com
MVPA_malg,MVPA - Algebra 1 - Middle School,MVPA,uri://instructure.com
MVPA_matk,MVPA - Kindergarten Math,MVPA,uri://instructure.com
MVPA_mat1,MVPA - 1st Grade Math,MVPA,uri://instructure.com
MVPA_mat2,MVPA - 2nd Grade Math,MVPA,uri://instructure.com
MVPA_mat3,MVPA - 3rd Grade Math,MVPA,uri://instructure.com
MVPA_mat4,MVPA - 4th Grade Math,MVPA,uri://instructure.com
MVPA_mat5,MVPA - 5th Grade Math,MVPA,uri://instructure.com
MVPA_mat6,MVPA - 6th Grade Math,MVPA,uri://instructure.com
MVPA_mat7,MVPA - 7th Grade Math,MVPA,uri://instructure.com
MVPA_mat8,MVPA - 8th Grade Math,MVPA,uri://instructure.com
MVPA_reak,MVPA - Kindergarten ELA,MVPA,uri://instructure.com
MVPA_rea1,MVPA - 1st Grade ELA,MVPA,uri://instructure.com
MVPA_rea2,MVPA - 2nd Grade ELA,MVPA,uri://instructure.com
MVPA_rea3,MVPA - 3rd Grade ELA,MVPA,uri://instructure.com
MVPA_rea4,MVPA - 4th Grade ELA,MVPA,uri://instructure.com
MVPA_rea5,MVPA - 5th Grade ELA,MVPA,uri://instructure.com
MVPA_rea6,MVPA - 6th Grade ELA,MVPA,uri://instructure.com
MVPA_rea7,MVPA - 7th Grade ELA,MVPA,uri://instructure.com
MVPA_rea8,MVPA - 8th Grade ELA,MVPA,uri://instructure.com
MVPA_scik,MVPA - Kindergarten Science,MVPA,uri://instructure.com
MVPA_sci1,MVPA - 1st Grade Science,MVPA,uri://instructure.com
MVPA_sci2,MVPA - 2nd Grade Science,MVPA,uri://instructure.com
MVPA_sci3,MVPA - 3rd Grade Science,MVPA,uri://instructure.com
MVPA_sci4,MVPA - 4th Grade Science,MVPA,uri://instructure.com
MVPA_sci5,MVPA - 5th Grade Science,MVPA,uri://instructure.com
MVPA_sci6,MVPA - 6th Grade Science,MVPA,uri://instructure.com
MVPA_sci7,MVPA - 7th Grade Science,MVPA,uri://instructure.com
MVPA_sci8,MVPA - 8th Grade Science,MVPA,uri://instructure.com
MVPA_sock,MVPA - Kindergarten Soc Studies,MVPA,uri://instructure.com
MVPA_soc1,MVPA - 1st Grade Soc Studies,MVPA,uri://instructure.com
MVPA_soc2,MVPA - 2nd Grade Soc Studies,MVPA,uri://instructure.com
MVPA_soc3,MVPA - 3rd Grade Soc Studies,MVPA,uri://instructure.com
MVPA_soc4,MVPA - 4th Grade Soc Studies,MVPA,uri://instructure.com
MVPA_soc5,MVPA - 5th Grade Soc Studies,MVPA,uri://instructure.com
MVPA_soc6,MVPA - 6th Grade Soc Studies,MVPA,uri://instructure.com
MVPA_soc7,MVPA - 7th Grade Soc Studies,MVPA,uri://instructure.com
MVPA_soc8,MVPA - 8th Grade Soc Studies,MVPA,uri://instructure.com
MVPA_ushi,MVPA - US History,MVPA,uri://instructure.com
