assessmentIdentifier,originalGrade,gradeLevelDescriptor
MVPA_alg1,,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MVPA_alg1,,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MVPA_alg1,,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MVPA_alg1,,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MVPA_algf,,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MVPA_algf,,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MVPA_algf,,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MVPA_algf,,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MVPA_algi,,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MVPA_algi,,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MVPA_algi,,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MVPA_algi,,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MVPA_biol,,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MVPA_biol,,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MVPA_biol,,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MVPA_biol,,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MVPA_biof,,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MVPA_biof,,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MVPA_biof,,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MVPA_biof,,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MVPA_eng1,,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MVPA_eng1,,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MVPA_eng1,,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MVPA_eng1,,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MVPA_eng2,,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MVPA_eng2,,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MVPA_eng2,,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MVPA_eng2,,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MVPA_eng3,,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MVPA_eng3,,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MVPA_eng3,,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MVPA_eng3,,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MVPA_malg,,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MVPA_malg,,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MVPA_malg,,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MVPA_matk,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
MVPA_mat1,,uri://ed-fi.org/GradeLevelDescriptor#First grade
MVPA_mat2,,uri://ed-fi.org/GradeLevelDescriptor#Second grade
MVPA_mat3,,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MVPA_mat4,,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MVPA_mat5,,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MVPA_mat6,,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MVPA_mat7,,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MVPA_mat8,,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MVPA_reak,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
MVPA_rea1,,uri://ed-fi.org/GradeLevelDescriptor#First grade
MVPA_rea2,,uri://ed-fi.org/GradeLevelDescriptor#Second grade
MVPA_rea3,,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MVPA_rea4,,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
