codeValue,description,namespace,shortDescription
5+,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
5,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
5-,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
-5,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
4+,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
4,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
4-,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
-4,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
3+,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
3,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
3-,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
-3,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
2+,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
2,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
2-,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
-2,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
1+,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
1,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
1-,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
-1,Multiple possible interpretations,uri://instructure.com/PerformanceLevelDescriptor,Multiple possible interpretations
