assessmentIdentifier,edfi_descriptor
MissouriAssessmentProgram_EOC_A1,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MissouriAssessmentProgram_EOC_A2,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MissouriAssessmentProgram_EOC_GE,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MissouriAssessmentProgram_EOC_E1,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MissouriAssessmentProgram_EOC_E2,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MissouriAssessmentProgram_EOC_B1,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MissouriAssessmentProgram_EOC_PS,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MissouriAssessmentProgram_EOC_GV,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
MissouriAssessmentProgram_EOC_AH,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
MissouriAssessmentProgram_MAP_ELA,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MissouriAssessmentProgram_MAP_Math,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MissouriAssessmentProgram_MAP_Science,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MissouriAssessmentProgram_MAP_SocialStudies,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
MissouriAssessmentProgram_MAPA_ELA,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
MissouriAssessmentProgram_MAPA_Math,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
MissouriAssessmentProgram_MAPA_Science,uri://ed-fi.org/AcademicSubjectDescriptor#Science
MissouriAssessmentProgram_MAPA_SocialStudies,uri://ed-fi.org/AcademicSubjectDescriptor#Social Sciences and History
