assessmentIdentifier,edfi_descriptor
MissouriAssessmentProgram_EOC_ELA,uri://ed-fi.org/AssessmentCategoryDescriptor#State high school course assessment
MissouriAssessmentProgram_EOC_Math,uri://ed-fi.org/AssessmentCategoryDescriptor#State high school course assessment
MissouriAssessmentProgram_EOC_Science,uri://ed-fi.org/AssessmentCategoryDescriptor#State high school course assessment
MissouriAssessmentProgram_EOC_SocialStudies,uri://ed-fi.org/AssessmentCategoryDescriptor#State high school course assessment
MissouriAssessmentProgram_MAP_ELA,uri://ed-fi.org/AssessmentCategoryDescriptor#State summative assessment 3-8 general
MissouriAssessmentProgram_MAP_Math,uri://ed-fi.org/AssessmentCategoryDescriptor#State summative assessment 3-8 general
MissouriAssessmentProgram_MAP_Science,uri://ed-fi.org/AssessmentCategoryDescriptor#State summative assessment 3-8 general
MissouriAssessmentProgram_MAP_SocialStudies,uri://ed-fi.org/AssessmentCategoryDescriptor#State summative assessment 3-8 general
MissouriAssessmentProgram_MAPA_ELA,uri://ed-fi.org/AssessmentCategoryDescriptor#State alternative assessment/grade-level standards
MissouriAssessmentProgram_MAPA_Math,uri://ed-fi.org/AssessmentCategoryDescriptor#State alternative assessment/grade-level standards
MissouriAssessmentProgram_MAPA_Science,uri://ed-fi.org/AssessmentCategoryDescriptor#State alternative assessment/grade-level standards
MissouriAssessmentProgram_MAPA_SocialStudies,uri://ed-fi.org/AssessmentCategoryDescriptor#State alternative assessment/grade-level standards
