assessmentIdentifier,assessmentTitle,assessmentFamily,namespace
MissouriAssessmentProgram_EOC_ELA,Missouri Assessment Program EOC ELA,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_EOC_Math,Missouri Assessment Program EOC Math,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_EOC_Science,Missouri Assessment Program EOC Science,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_EOC_SocialStudies,Missouri Assessment Program EOC Social Studies,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_MAP_ELA,Missouri Assessment Program MAP ELA,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_MAP_Math,Missouri Assessment Program MAP Math,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_MAP_Science,Missouri Assessment Program MAP Science,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_MAP_SocialStudies,Missouri Assessment Program MAP Studies,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_MAPA_ELA,Missouri Assessment Program MAP-A ELA,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_MAPA_Math,Missouri Assessment Program MAP-A Math,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_MAPA_Science,Missouri Assessment Program MAP-A Science,Missouri Assessment Program,uri://dese.mo.gov/assessment
MissouriAssessmentProgram_MAPA_SocialStudies,Missouri Assessment Program MAP-A Social Studies,Missouri Assessment Program,uri://dese.mo.gov/assessment
