assessmentIdentifier,originalGrade,edfi_descriptor
MissouriAssessmentProgram_EOC_A1,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_A1,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_A1,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_A1,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_A1,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_A1,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_A1,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_A1,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_A1,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_A1,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_EOC_A2,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_A2,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_A2,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_A2,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_A2,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_A2,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_A2,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_A2,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_A2,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_A2,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_EOC_GE,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_GE,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_GE,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_GE,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_GE,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_GE,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_GE,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_GE,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_GE,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_GE,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_EOC_E1,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_E1,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_E1,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_E1,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_E1,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_E1,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_E1,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_E1,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_E1,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_E1,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_EOC_E2,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_E2,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_E2,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_E2,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_E2,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_E2,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_E2,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_E2,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_E2,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_E2,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_EOC_B1,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_B1,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_B1,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_B1,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_B1,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_B1,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_B1,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_B1,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_B1,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_B1,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_EOC_PS,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_PS,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_PS,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_PS,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_PS,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_PS,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_PS,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_PS,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_PS,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_PS,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_EOC_GV,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_GV,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_GV,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_GV,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_GV,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_GV,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_GV,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_GV,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_GV,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_GV,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_EOC_AH,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_EOC_AH,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_EOC_AH,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_EOC_AH,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_EOC_AH,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_EOC_AH,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_EOC_AH,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_EOC_AH,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_EOC_AH,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_EOC_AH,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_MAP_ELA,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_MAP_ELA,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_MAP_ELA,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_MAP_ELA,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_MAP_ELA,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_MAP_ELA,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_MAP_ELA,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_MAP_ELA,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_MAP_ELA,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_MAP_ELA,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_MAP_Math,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_MAP_Math,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_MAP_Math,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_MAP_Math,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_MAP_Math,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_MAP_Math,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_MAP_Math,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_MAP_Math,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_MAP_Math,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_MAP_Math,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_MAP_Science,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_MAP_Science,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_MAP_Science,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_MAP_Science,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_MAP_Science,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_MAP_Science,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_MAP_Science,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_MAP_Science,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_MAP_Science,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_MAP_Science,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_MAP_SocialStudies,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_MAP_SocialStudies,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_MAP_SocialStudies,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_MAP_SocialStudies,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_MAP_SocialStudies,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_MAP_SocialStudies,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_MAP_SocialStudies,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_MAP_SocialStudies,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_MAP_SocialStudies,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_MAP_SocialStudies,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_MAPA_ELA,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_MAPA_ELA,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_MAPA_ELA,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_MAPA_ELA,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_MAPA_ELA,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_MAPA_ELA,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_MAPA_ELA,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_MAPA_ELA,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_MAPA_ELA,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_MAPA_ELA,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_MAPA_Math,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_MAPA_Math,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_MAPA_Math,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_MAPA_Math,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_MAPA_Math,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_MAPA_Math,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_MAPA_Math,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
MissouriAssessmentProgram_MAPA_Math,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
MissouriAssessmentProgram_MAPA_Math,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
MissouriAssessmentProgram_MAPA_Math,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
MissouriAssessmentProgram_MAPA_Science,03,uri://ed-fi.org/GradeLevelDescriptor#Third grade
MissouriAssessmentProgram_MAPA_Science,04,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
MissouriAssessmentProgram_MAPA_Science,05,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
MissouriAssessmentProgram_MAPA_Science,06,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
MissouriAssessmentProgram_MAPA_Science,07,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
MissouriAssessmentProgram_MAPA_Science,08,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
MissouriAssessmentProgram_MAPA_Science,09,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
