codeValue,description,namespace,shortDescription
Kindergarten,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor,Kindergarten
First grade,First grade,uri://ed-fi.org/GradeLevelDescriptor,First grade
Second grade,Second grade,uri://ed-fi.org/GradeLevelDescriptor,Second grade
Third grade,Third grade,uri://ed-fi.org/GradeLevelDescriptor,Third grade
Fourth grade,Fourth grade,uri://ed-fi.org/GradeLevelDescriptor,Fourth grade
Fifth grade,Fifth grade,uri://ed-fi.org/GradeLevelDescriptor,Fifth grade
Sixth grade,Sixth grade,uri://ed-fi.org/GradeLevelDescriptor,Sixth grade
Seventh grade,Seventh grade,uri://ed-fi.org/GradeLevelDescriptor,Seventh grade
Eighth grade,Eighth grade,uri://ed-fi.org/GradeLevelDescriptor,Eighth grade
Ninth grade,Ninth grade,uri://ed-fi.org/GradeLevelDescriptor,Ninth grade
Tenth grade,Tenth grade,uri://ed-fi.org/GradeLevelDescriptor,Tenth grade
Eleventh grade,Eleventh grade,uri://ed-fi.org/GradeLevelDescriptor,Eleventh grade
Twelfth grade,Twelfth grade,uri://ed-fi.org/GradeLevelDescriptor,Twelfth grade
No grade level,No grade level,uri://ed-fi.org/GradeLevelDescriptor,No grade level
