codeValue,description,namespace,shortDescription,column_name,data_type,is_deprecated,score_or_performance
Term Name  ,Term Name,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,TermName  ,level,FALSE,performance
Assigned Test Type  ,Assigned Test Type  ,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,AssignedTestType  ,level,FALSE,performance
Result Type  ,Result Type  ,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,ResultType  ,level,FALSE,performance
Test Language  ,Test Language  ,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,TestLanguage  ,level,FALSE,performance
Test Completion Date  ,Test Completion Date  ,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,TestCompletionDate  ,level,FALSE,performance
Print Concept Performance Level  ,PhonologicalAwarenessZPDName  ,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,PrintConceptPerformanceLevel  ,level,FALSE,performance
Listening Comprehension Performance Level  ,Performance level indicating the student’s ability to listen and match a picture to a sentence,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,ListeningComprehensionPerformanceLevel  ,level,FALSE,performance
Picture Vocab Performance Level  ,Performance level indicating the student’s ability to listen and match a picture to a vocabulary word,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,PictureVocabPerformanceLevel  ,level,FALSE,performance
Phonological Awareness ZPD Name  ,Skills in the student's Zone Proximal Development that are ready to be practiced and mastered,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,PhonologicalAwarenessZPDName  ,level,FALSE,performance
Phonological Awareness ZPD Level  ,Student's progression level (0–5) in the Phonological Awareness domain,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,PhonologicalAwarenessZPDLevel  ,level,FALSE,performance
Phonological Awareness Performance Level  ,"Performance level indicating the student’s awareness of the phonological structure, or sound structure, of words",uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,PhonologicalAwarenessPerformanceLevel  ,level,FALSE,performance
Phonics Word Recognition ZPD Name  ,Phonics Word Recognition ZPD Name  ,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,PhonicsWordRecognitionZPDName  ,level,FALSE,performance
Phonics Word Recognition ZPD Level  ,Student's progression level (0–5) in the Phonics/Word Recognition domain,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,PhonicsWordRecognitionZPDLevel  ,level,FALSE,performance
Phonics Word Recognition Performance Level  ,"Performance level indicating the student’s awareness of the phonological structure, or sound structure, of words",uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,PhonicsWordRecognitionPerformanceLevel  ,level,FALSE,performance
Sentence Reading Fluency Performance Level  ,Performance level indicating the student’s ability to read a sentence and identify the matching picture,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,SentenceReadingFluencyPerformanceLevel  ,level,FALSE,performance
Oral Reading Rate Performance Level  ,Performance level indicating the student's reading rate based on grade-level expectations,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,OralReadingRatePerformanceLevel  ,level,FALSE,performance
Oral Reading Accuracy Performance Level  ,Performance level indicating the student's ability to accurately read and decode words based on the complexity of the text given and grade-level expectations,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,OralReadingAccuracyPerformanceLevel  ,level,FALSE,performance
Literal Comprehension Performance Level,Performance level indicating the student’s ability to understand the main idea and key details of the given written material,uri://www.nwea.org/mapFluency/AssessmentReportingMethodDescriptor,,LiteralComprehensionPerformanceLevel,level,FALSE,performance
