assessment_identifier,namespace,assessment_title,edfi_grade_level,assessed_grade_level
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Kindergarten,K
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,First grade,1
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Second grade,2
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Second grade,2
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Third grade,3
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Fourth grade,4
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Fifth grade,5
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Sixth grade,6
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Seventh grade,7
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Eighth grade,8
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Ninth grade,9
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Tenth grade,10
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Eleventh grade,11
NWEA-Map-Fluency,uri://www.nwea.org/mapFluency,MAP Fluency,Twelfth grade,12
