assessment_identifier,identification_code,reporting_method,level,score_reporting_method,result_data_type
Foundation Skills,Listening Comprehension,Performance Level,Exceeds Expectation,,
Foundation Skills,Listening Comprehension,Performance Level,Meets Expectation,,
Foundation Skills,Listening Comprehension,Performance Level,Approaching Expectation,,
Foundation Skills,Listening Comprehension,Performance Level,Below Expectation,,
Foundation Skills,Listening Comprehension,,,Correct,Integer
Foundation Skills,Listening Comprehension,,,Attempted,Integer
Foundation Skills,Picture Vocab,Performance Level,Meets Expectation,,
Foundation Skills,Picture Vocab,Performance Level,Approaching Expectation,,
Foundation Skills,Picture Vocab,Performance Level,Below Expectation,,
Foundation Skills,Picture Vocab,,,Correct,Integer
Foundation Skills,Picture Vocab,,,Attempted,Integer
Foundation Skills,Phonological Awareness,Performance Level,Exceeds Expectation,,
Foundation Skills,Phonological Awareness,Performance Level,Meets Expectation,,
Foundation Skills,Phonological Awareness,Performance Level,Approaching Expectation,,
Foundation Skills,Phonological Awareness,Performance Level,Below Expectation,,
Foundation Skills,Phonological Awareness,ZPD Level,0,,
Foundation Skills,Phonological Awareness,ZPD Level,1,,
Foundation Skills,Phonological Awareness,ZPD Level,2,,
Foundation Skills,Phonological Awareness,ZPD Level,3,,
Foundation Skills,Phonological Awareness,ZPD Level,4,,
Foundation Skills,Phonological Awareness,ZPD Level,5,,
Foundation Skills,Phonological Awareness,ZPD Name,Introduce - Rhymes & Syllables,,
Foundation Skills,Phonological Awareness,ZPD Name,Rhymes & Syllables,,
Foundation Skills,Phonological Awareness,ZPD Name,Initial Sounds,,
Foundation Skills,Phonological Awareness,ZPD Name,Blending & Segmenting,,
Foundation Skills,Phonological Awareness,ZPD Name,Phonemic Manipulation,,
Foundation Skills,Phonological Awareness,ZPD Name,Reinforce - Phonemic Manipulation,,
Foundation Skills,Phonological Awareness,ZPD Name,Reinforce - Syllable & Phoneme Manipulation,,
Foundation Skills,Phonological Awareness,ZPD Name,Syllable & Phoneme Manipulation,,
Foundation Skills,Phonological Awareness,ZPD Name,Syllable Blending & Initial Sounds,,
Foundation Skills,Phonological Awareness,,,Domain Score,Integer
Foundation Skills,Phonological Awareness,,,Test Percentile,Integer
Foundation Skills,Sentence Reading Fluency,Performance Level,Exceeds Expectation,,
Foundation Skills,Sentence Reading Fluency,Performance Level,Meets Expectation,,
Foundation Skills,Sentence Reading Fluency,Performance Level,Approaching Expectation,,
Foundation Skills,Sentence Reading Fluency,Performance Level,Below Expectation,,
Foundation Skills,Sentence Reading Fluency,Performance Level,No Expectation,,
Foundation Skills,Sentence Reading Fluency,,,Correct,Integer
Foundation Skills,Sentence Reading Fluency,,,Attempted,Integer
Foundational Skills Beginner,Listening Comprehension,Performance Level,Exceeds Expectation,,
Foundational Skills Beginner,Listening Comprehension,Performance Level,Meets Expectation,,
Foundational Skills Beginner,Listening Comprehension,Performance Level,Approaching Expectation,,
Foundational Skills Beginner,Listening Comprehension,Performance Level,Below Expectation,,
Foundational Skills Beginner,Listening Comprehension,,,Correct,Integer
Foundational Skills Beginner,Listening Comprehension,,,Attempted,Integer
Foundational Skills Beginner,Picture Vocab,Performance Level,Meets Expectation,,
