assessmentIdentifier,identificationCode,edfi_descriptor
PSAT-8/9,,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
PSAT-8/9,,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PSAT-8/9,EBRW,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
PSAT-8/9,Math,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PSAT-10,,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
PSAT-10,,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PSAT-10,EBRW,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
PSAT-10,Math,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PSAT-NMSQT,,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
PSAT-NMSQT,,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PSAT-NMSQT,EBRW,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
PSAT-NMSQT,Math,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
SAT,,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
SAT,,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
SAT,EBRW,uri://ed-fi.org/AcademicSubjectDescriptor#English Language Arts
SAT,Math,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
