codeValue,description,namespace,shortDescription
Total Score,Total Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Total Score
Nationally Rep Sample Pctl Total Score,Nationally Representative Sample Percentile Total Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Total Score
User Percentile Total Score,User Percentile Total Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Total Score
CCR Benchmark Indicator,College and Career Readiness Benchmark Indicator,uri://collegeboard.org/AssessmentReportingMethodDescriptor,CCR Benchmark Indicator
Section Score,Section Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Section Score
Nationally Rep Sample Pctl Section Score,Nationally Representative Sample Percentile Section Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Section Score
User Percentile Section Score,User Percentile Section Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Section Score
Test Score,Test Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Test Score
Nationally Rep Sample Pctl Test Score,Nationally Representative Sample Percentile Test Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Test Score
User Percentile Test Score,User Percentile Test Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Test Score
Number of Reading Test Questions,Number of Reading Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Reading Test Questions
Correct Answers to Reading Test Questions,Student Correct Answers to Reading Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Correct Answers to Reading Test Questions
Incorrect Answers to Reading Test Questions,Student Incorrect Answers to Reading Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Incorrect Answers to Reading Test Questions
Omitted Reading Test Questions,Student Omitted Reading Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Omitted Reading Test Questions
Number of Writing Test Questions,Number of Writing and Language Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Writing Test Questions
Correct Answers to Writing Test Questions,Student Correct Answers to Writing and Language Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Correct Answers to Writing Test Questions
Incorrect Answers to Writing Test Questions,Student Incorrect Answers to Writing and Language Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Incorrect Answers to Writing Test Questions
Omitted Writing Test Questions,Student Omitted Writing and Language Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Omitted Writing Test Questions
Number of Math No Calc Test MC Questions,Number of Math No Calc Test Multiple Choice Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Math No Calc Test MC Questions
Number of Math No Calc Test PR Questions,Number of Math No Calc Test Produced Response Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Math No Calc Test PR Questions
Correct Answers to Math No Calc Test Questions,Student Correct Answers to Math No Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Correct Answers to Math No Calc Test Questions
Incorrect Answers to Math No Calc Test Questions,Student Incorrect Answers to Math No Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Incorrect Answers to Math No Calc Test Questions
Omitted Math No Calc Test Questions,Student Omitted Math No Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Omitted Math No Calc Test Questions
Number of Math Calc Test MC Questions,Number of Math Calc Test Multiple Choice Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Math Calc Test MC Questions
Number of Math Calc Test PR Questions,Number of Math Calc Test Produced Response Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Math Calc Test PR Questions
Correct Answers to Math Calc Test Questions,Student Correct Answers to Math Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Correct Answers to Math Calc Test Questions
Incorrect Answers to Math Calc Test Questions,Student Incorrect Answers to Math Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Incorrect Answers to Math Calc Test Questions
Omitted Math Calc Test Questions,Student Omitted Math Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Omitted Math Calc Test Questions
Subscore,Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Subscore
Nationally Rep Sample Pctl Subscore,Nationally Representative Sample Percentile Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Subscore
User Percentile Subscore,User Percentile Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Subscore
Essay Reading Subscore,Essay Reading Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Essay Reading Subscore
Essay Writing Subscore,Essay Writing Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Essay Writing Subscore
Essay Analysis Subscore,Essay Analysis Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Essay Analysis Subscore
Cross Test Score,Cross Test Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Cross Test Score
Nationally Rep Sample Pctl Cross Test Score,Nationally Representative Sample Percentile Cross Test Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Cross Test Score
User Percentile Cross Test Score,User Percentile Cross Test Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Cross Test Score
