assessmentIdentifier,assessmentTitle,namespace
PSAT 8/9_1600,PSAT 8/9,uri://collegeboard.org
PSAT 10_1600,PSAT 10,uri://collegeboard.org
PSAT/NMSQT_1600,PSAT/NMSQT,uri://collegeboard.org
SAT_1600,SAT,uri://collegeboard.org
PSAT 8/9_2400,PSAT 8/9,uri://collegeboard.org
PSAT 10_2400,PSAT 10,uri://collegeboard.org
PSAT/NMSQT_2400,PSAT/NMSQT,uri://collegeboard.org
SAT_2400,SAT,uri://collegeboard.org
PSAT 8/9_Adaptive,PSAT 8/9,uri://collegeboard.org
PSAT 10_Adaptive,PSAT 10,uri://collegeboard.org
PSAT/NMSQT_Adaptive,PSAT/NMSQT,uri://collegeboard.org
SAT_Adaptive,SAT,uri://collegeboard.org
