psat_sat_grade,assessmentIdentifier,edfi_descriptor
1,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Other
2,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
4,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
5,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
6,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
7,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
8,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Out of School
10,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
11,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
12,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
13,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
,PSAT 8/9_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
1,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Other
2,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
4,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
5,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
6,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
7,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
8,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Out of School
10,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
11,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
12,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
13,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
,PSAT/NMSQT_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
1,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Other
2,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
4,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
5,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
6,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
7,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
8,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Out of School
10,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
11,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
12,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
13,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
,PSAT 10_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
1,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Other
2,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
4,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
5,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
6,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
7,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
8,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Out of School
10,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
11,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
12,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
13,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
,SAT_1600,uri://ed-fi.org/GradeLevelDescriptor#No grade level
1,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Other
2,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
4,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
5,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
6,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
7,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
8,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Out of School
10,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#No grade level
11,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#No grade level
12,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
13,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
,PSAT 8/9_2400,uri://ed-fi.org/GradeLevelDescriptor#No grade level
1,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#Other
2,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
4,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
5,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
6,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
7,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
8,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#Out of School
10,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#No grade level
11,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#No grade level
12,PSAT/NMSQT_2400,uri://ed-fi.org/GradeLevelDescriptor#Postsecondary
