codeValue,description,namespace,shortDescription
Proficiency Level,Proficiency Level,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Proficiency Level
CCR Benchmark Indicator,College and Career Readiness Benchmark Indicator,uri://collegeboard.org/AssessmentReportingMethodDescriptor,CCR Benchmark Indicator
State Sponsored Assessments Total Score,State Sponsored Assessments Total Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,State Sponsored Assessments Total Score
State Sponsored Assessments Score,State Sponsored Assessments Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,State Sponsored Assessments Score
Nationally Rep Sample Pctl Total Score,Nationally Representative Sample Percentile Total Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Total Score
Nationally Rep Sample Pctl Score,Nationally Representative Sample Percentile Total Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Score
User Percentile Score,User Percentile Total Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Total Score
User Percentile Total Score,User Percentile Total Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Total Score
Number of Reading Test Questions,Number of Reading Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Reading Test Questions
Correct Answers to Reading Test Questions,Student Correct Answers to Reading Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Correct Answers to Reading Test Questions
Incorrect Answers to Reading Test Questions,Student Incorrect Answers to Reading Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Incorrect Answers to Reading Test Questions
Omitted Reading Test Questions,Student Omitted Reading Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Omitted Reading Test Questions
Number of Writing Test Questions,Number of Writing and Language Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Writing Test Questions
Correct Answers to Writing Test Questions,Student Correct Answers to Writing and Language Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Correct Answers to Writing Test Questions
Incorrect Answers to Writing Test Questions,Student Incorrect Answers to Writing and Language Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Incorrect Answers to Writing Test Questions
Omitted Writing Test Questions,Student Omitted Writing and Language Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Omitted Writing Test Questions
Number of Math No Calc Test MC Questions,Number of Math No Calc Test Multiple Choice Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Math No Calc Test MC Questions
Number of Math No Calc Test PR Questions,Number of Math No Calc Test Produced Response Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Math No Calc Test PR Questions
Correct Answers to Math No Calc Test Questions,Student Correct Answers to Math No Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Correct Answers to Math No Calc Test Questions
Incorrect Answers to Math No Calc Test Questions,Student Incorrect Answers to Math No Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Incorrect Answers to Math No Calc Test Questions
Omitted Math No Calc Test Questions,Student Omitted Math No Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Omitted Math No Calc Test Questions
Number of Math Calc Test MC Questions,Number of Math Calc Test Multiple Choice Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Math Calc Test MC Questions
Number of Math Calc Test PR Questions,Number of Math Calc Test Produced Response Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Number of Math Calc Test PR Questions
Correct Answers to Math Calc Test Questions,Student Correct Answers to Math Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Correct Answers to Math Calc Test Questions
Incorrect Answers to Math Calc Test Questions,Student Incorrect Answers to Math Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Incorrect Answers to Math Calc Test Questions
Omitted Math Calc Test Questions,Student Omitted Math Calc Test Questions,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Omitted Math Calc Test Questions
State Sponsored Assessments Subscore,State Sponsored Assessments Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,State Sponsored Assessments Subscore
Nationally Rep Sample Pctl Subscore,Nationally Representative Sample Percentile Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Subscore
Nationally Rep Sample Pctl Section Score,Nationally Rep Sample Pctl Section Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Nationally Rep Sample Pctl Section Score
User Percentile Section Score,User Percentile Section Score,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Section Score
User Percentile Subscore,User Percentile Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,User Percentile Subscore
Essay Reading Subscore,Essay Reading Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Essay Reading Subscore
Essay Writing Subscore,Essay Writing Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Essay Writing Subscore
Essay Analysis Subscore,Essay Analysis Subscore,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Essay Analysis Subscore
Subject,Subject,uri://collegeboard.org/AssessmentReportingMethodDescriptor,Subject
