start_index,end_index,field_length,field_name
0,9,8,Process_Num
8,14,6,School_Attend_Code
20,22,2,State_Code
28,31,3,Cycle_Code
32,33,1,Tested_Own_School
33,39,6,School_Reported_Code
43,68,25,L_Name
68,84,16,F_Name
84,85,1,M_Initial
106,109,3,Doc_Id
109,117,8,DOB
117,118,1,Gender
118,119,1,Ethn_FedValues
129,131,2,Grade_Reported
131,139,8,Test_Dte
139,141,2,Grade_School_Header
145,147,2,Grade_Student_Grid
149,151,2,Eng
151,153,2,Mth
153,155,2,Rdg
155,157,2,Sci
157,159,2,Composite
159,161,2,STEM
161,163,2,E_Earn_Prod
163,165,2,E_Earn_Knlg
165,167,2,E_Earn_Conv
167,169,2,M_Earn_Higher
169,171,2,M_Earn_NumQ
171,173,2,M_Earn_Alg
173,175,2,M_Earn_Func
175,177,2,M_Earn_Geom
177,179,2,M_Earn_Stat
179,181,2,M_Earn_Essen
181,183,2,M_Earn_Mod
183,185,2,R_Earn_Ideas
185,187,2,R_Earn_Struc
187,189,2,R_Earn_Knlg
189,191,2,S_Earn_Data
191,193,2,S_Earn_Inv
193,195,2,S_Earn_Eval
197,199,2,Eng_Low
199,201,2,Eng_High
201,203,2,Mth_Low
203,205,2,Mth_High
205,207,2,Rdg_Low
207,209,2,Rdg_High
209,211,2,Sci_Low
211,213,2,Sci_High
213,215,2,Composite_Low
215,217,2,Composite_High
217,219,2,STEM_Low
219,221,2,STEM_High
229,231,2,Pred_ACT_Eng_Low
231,233,2,Pred_ACT_Eng_High
233,235,2,Pred_ACT_Mth_Low
235,237,2,Pred_ACT_Mth_High
237,239,2,Pred_ACT_Rdg_Low
239,241,2,Pred_ACT_Rdg_High
241,243,2,Pred_ACT_Sci_Low
243,245,2,Pred_ACT_Sci_High
245,247,2,Pred_ACT_Composite_Low
247,249,2,Pred_ACT_Composite_High
249,251,2,Pred_ACT_STEM_Low
251,253,2,Pred_ACT_STEM_High
253,256,3,USRnk_Sub_Engl
256,259,3,USRnk_Sub_Math
259,262,3,USRnk_Sub_Rdg
