identificationCode,assessmentIdentifier,edfi_descriptor
,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
PreACT_Eng,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
PreACT_Rdg,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
PreACT_STEM,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Composite
PreACT_Mat,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_Sci,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
PreACT_E_Earn_Prod,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
PreACT_E_Earn_Knlg,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
PreACT_E_Earn_Conv,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#English
PreACT_M_Earn_Higher,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_NumQ,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Alg,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Func,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Geom,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Stat,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Essen,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_M_Earn_Mod,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics
PreACT_R_Earn_Ideas,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
PreACT_R_Earn_Struc,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
PreACT_R_Earn_Knlg,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Reading
PreACT_S_Earn_Data,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
PreACT_S_Earn_Inv,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
PreACT_S_Earn_Eval,PreACT,uri://ed-fi.org/AcademicSubjectDescriptor#Science
