codeValue,description,namespace,shortDescription,dataType
Composite Score,Composite Score,uri://act.org/AssessmentReportingMethodDescriptor,Composite Score,Integer
Composite Score Range High,Composite Score Range High,uri://act.org/AssessmentReportingMethodDescriptor,Composite Score Range High,Integer
Composite Score Range Low,Composite Score Range Low,uri://act.org/AssessmentReportingMethodDescriptor,Composite Score Range Low,Integer
Composite US Rank,Composite US Rank,uri://act.org/AssessmentReportingMethodDescriptor,Composite US Rank,Percentile
Composite Standard Error of Measurement,Composite Standard Error of Measurement,uri://act.org/AssessmentReportingMethodDescriptor,Composite Standard Error of Measurement,Integer
Predicted ACT Composite Score Range High,Predicted ACT Composite Score Range High,uri://act.org/AssessmentReportingMethodDescriptor,Predicted ACT Composite Score Range High,Integer
Predicted ACT Composite Score Range Low,Predicted ACT Composite Score Range Low,uri://act.org/AssessmentReportingMethodDescriptor,Predicted ACT Composite Score Range Low,Integer
Predicted ACT STEM Score Range High,Predicted ACT STEM Score Range High,uri://act.org/AssessmentReportingMethodDescriptor,Predicted ACT STEM Score Range High,Integer
Predicted ACT STEM Score Range Low,Predicted ACT STEM Score Range Low,uri://act.org/AssessmentReportingMethodDescriptor,Predicted ACT STEM Score Range Low,Integer
STEM Score,STEM Score,uri://act.org/AssessmentReportingMethodDescriptor,STEM Score,Integer
STEM Score Range High,STEM Score Range High,uri://act.org/AssessmentReportingMethodDescriptor,STEM Score Range High,Integer
STEM Score Range Low,STEM Score Range Low,uri://act.org/AssessmentReportingMethodDescriptor,STEM Score Range Low,Integer
STEM US Rank,STEM US Rank,uri://act.org/AssessmentReportingMethodDescriptor,STEM US Rank,Percentile
Sum of Scale Scores,Sum of Scale Scores,uri://act.org/AssessmentReportingMethodDescriptor,Sum of Scale Scores,Integer
