assessmentIdentifier,gradeLevelDescriptor,gradeLevelShort
PRE-ACT,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade,Eighth grade
PRE-ACT,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade,Ninth grade
PRE-ACT,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade,Tenth grade
PRE-ACT,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade,Eleventh grade
PRE-ACT,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade,Twelfth grade
PRE-ACT-SEC,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade,Eighth grade
PRE-ACT-SEC,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade,Ninth grade
PRE-ACT-SEC,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade,Tenth grade
PRE-ACT-SEC,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade,Eleventh grade
PRE-ACT-SEC,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade,Twelfth grade
PRE-ACT-89,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade,Eighth grade
PRE-ACT-89,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade,Ninth grade
PRE-ACT-89,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade,Tenth grade
PRE-ACT-89,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade,Eleventh grade
PRE-ACT-89,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade,Twelfth grade
