identificationCode,assessmentIdentifier,description,namespace,parentIdentificationCode,academicSubjectDescriptor,has_pls
PREACT_STEM,PRE-ACT,STEM Composite Indicator,uri://act.org/,,uri://ed-fi.org/AcademicSubjectDescriptor#Composite,True
PREACT_E,PRE-ACT,English,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,True
PREACT_E_CSE,PRE-ACT,Conventions of Standard English,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACT_E_KL,PRE-ACT,Knowledge of Language,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACT_E_PW,PRE-ACT,Production of Writing,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACT_M,PRE-ACT,Mathematics,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,True
PREACT_M_IES,PRE-ACT,Integrating Essential Skills,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT_M_M,PRE-ACT,Modeling,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT_M_PHM,PRE-ACT,Preparing for High Math,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT_M_PHM_A,PRE-ACT,Algebra,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT_M_PHM_F,PRE-ACT,Functions,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT_M_PHM_G,PRE-ACT,Geometry,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT_M_PHM_NQ,PRE-ACT,Numer and Quantity,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT_M_PHM_SP,PRE-ACT,Statistics and Probability,uri://act.org/,PREACT_M_PHM,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
PREACT_R,PRE-ACT,Reading,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,True
PREACT_R_CS,PRE-ACT,Craft and Structure,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACT_R_IKI,PRE-ACT,Integration of Knowledge and Ideas,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACT_R_KID,PRE-ACT,Key Ideas and Details,uri://act.org/,PREACT_R,uri://ed-fi.org/AcademicSubjectDescriptor#Reading,False
PREACT_S,PRE-ACT,Science,uri://act.org/,PREACT_STEM_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,True
PREACT_S_EMIER,PRE-ACT,"Evaluation of Models, Inferences, and Experimental Results",uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
PREACT_S_ID,PRE-ACT,Interpretation of Data,uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
PREACT_S_SI,PRE-ACT,Scientific Investigation,uri://act.org/,PREACT_S,uri://ed-fi.org/AcademicSubjectDescriptor#Science,False
PREACTSEC_STEM,PRE-ACT-SEC,STEM Composite Indicator,uri://act.org/,,uri://ed-fi.org/AcademicSubjectDescriptor#Composite,True
PREACTSEC_E,PRE-ACT-SEC,English,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,True
PREACTSEC_E_CSE,PRE-ACT-SEC,Conventions of Standard English,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACTSEC_E_KL,PRE-ACT-SEC,Knowledge of Language,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACTSEC_E_PW,PRE-ACT-SEC,Production of Writing,uri://act.org/,PREACT_E,uri://ed-fi.org/AcademicSubjectDescriptor#English,False
PREACTSEC_M,PRE-ACT-SEC,Mathematics,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,True
PREACTSEC_M_IES,PRE-ACT-SEC,Integrating Essential Skills,uri://act.org/,PREACT_M,uri://ed-fi.org/AcademicSubjectDescriptor#Mathematics,False
