codeValue,description,namespace,shortDescription
Domain Mastery Level,Domain mastery level,uri://renaissance.com/AssessmentReportingMethodDescriptor,Domain Mastery Level
Domain Percent Mastery,Domain percent mastery,uri://renaissance.com/AssessmentReportingMethodDescriptor,Domain percent mastery
Test Name,Test Name,uri://renaissance.com/AssessmentReportingMethodDescriptor,Test Name
District Benchmark Cat. Name,District Benchmark Cat. Name,uri://renaissance.com/AssessmentReportingMethodDescriptor,District Benchmark Cat. Name
District Benchmark Level,District Benchmark Level,uri://renaissance.com/AssessmentReportingMethodDescriptor,District Benchmark Level
District Benchmark Proficient,District Benchmark Proficient,uri://renaissance.com/AssessmentReportingMethodDescriptor,District Benchmark Proficient
Literacy Classification,Literacy Classification,uri://renaissance.com/AssessmentReportingMethodDescriptor,Literacy Classification
Scale Score,Scale Score,uri://renaissance.com/AssessmentReportingMethodDescriptor,Scale Score
Standard Error Measurement,Standard Error Measurement,uri://renaissance.com/AssessmentReportingMethodDescriptor,Standard Error Measurement
Rasch Score,Rasch Score,uri://renaissance.com/AssessmentReportingMethodDescriptor,Rasch Score
Unified Score,Unified Score,uri://renaissance.com/AssessmentReportingMethodDescriptor,Unified Score
Open Growth Score,Open Growth Score,uri://renaissance.com/AssessmentReportingMethodDescriptor,Open Growth Score
Grade Equivalent,Grade Equivalent,uri://renaissance.com/AssessmentReportingMethodDescriptor,Grade Equivalent
Normal Curve Equivalent,Normal curve equivalent,uri://renaissance.com/AssessmentReportingMethodDescriptor,Normal curve equivalent
Percentile Rank,Percentile Rank,uri://renaissance.com/AssessmentReportingMethodDescriptor,Percentile Rank
Student Growth Percentile Fall-to-Fall,Student Growth Percentile Fall-to-Fall,uri://renaissance.com/AssessmentReportingMethodDescriptor,Student Growth Percentile Fall-to-Fall
Student Growth Percentile Fall-to-Spring,Student Growth Percentile Fall-to-Spring,uri://renaissance.com/AssessmentReportingMethodDescriptor,Student Growth Percentile Fall-to-Spring
Student Growth Percentile Fall-to-Winter,Student Growth Percentile Fall-to-Winter,uri://renaissance.com/AssessmentReportingMethodDescriptor,Student Growth Percentile Fall-to-Winter
Student Growth Percentile Spring-to-Fall,Student Growth Percentile Spring-to-Fall,uri://renaissance.com/AssessmentReportingMethodDescriptor,Student Growth Percentile Spring-to-Fall
Student Growth Percentile Spring-to-Spring,Student Growth Percentile Spring-to-Spring,uri://renaissance.com/AssessmentReportingMethodDescriptor,Student Growth Percentile Spring-to-Spring
Student Growth Percentile Winter-to-Spring,Student Growth Percentile Winter-to-Spring,uri://renaissance.com/AssessmentReportingMethodDescriptor,Student Growth Percentile Winter-to-Spring
Total Correct,Total Correct,uri://renaissance.com/AssessmentReportingMethodDescriptor,Total Correct
Total Possible,Total Possible,uri://renaissance.com/AssessmentReportingMethodDescriptor,Total Possible
Total Time In Seconds,Total Time In Seconds,uri://renaissance.com/AssessmentReportingMethodDescriptor,Total Time In Seconds
Screening Period Window Name,Screening Period Window Name,uri://renaissance.com/AssessmentReportingMethodDescriptor,Screening Period Window Name
Renaissance Benchmark Level,Renaissance Benchmark Level,uri://renaissance.com/AssessmentReportingMethodDescriptor,Renaissance Benchmark Level
Renaissance Benchmark Cat. Name,Renaissance Benchmark Cat. Name,uri://renaissance.com/AssessmentReportingMethodDescriptor,Renaissance Benchmark Cat. Name
State Benchmark Cat. Name,State Benchmark Cat. Name,uri://renaissance.com/AssessmentReportingMethodDescriptor,State Benchmark Cat. Name
State Benchmark Level,State Benchmark Level,uri://renaissance.com/AssessmentReportingMethodDescriptor,State Benchmark Level
State Benchmark Proficient,State Benchmark Proficient,uri://renaissance.com/AssessmentReportingMethodDescriptor,State Benchmark Proficient
School Benchmark Cat. Name,School Benchmark Cat. Name,uri://renaissance.com/AssessmentReportingMethodDescriptor,School Benchmark Cat. Name
School Benchmark Level,School Benchmark Level,uri://renaissance.com/AssessmentReportingMethodDescriptor,School Benchmark Level
School Benchmark Proficient,School Benchmark Proficient,uri://renaissance.com/AssessmentReportingMethodDescriptor,School Benchmark Proficient
Estimated Oral Reading Fluency,Estimated Oral Reading Fluency,uri://renaissance.com/AssessmentReportingMethodDescriptor,Estimated Oral Reading Fluency
Current SGP,Current SGP,uri://renaissance.com/AssessmentReportingMethodDescriptor,Current SGP
SAT Benchmark Category,SAT Benchmark Category,uri://renaissance.com/AssessmentReportingMethodDescriptor,SAT Benchmark Category
ACT Benchmark Category,ACT Benchmark Category,uri://renaissance.com/AssessmentReportingMethodDescriptor,ACT Benchmark Category
Standard Percent Mastery,Standard Percent Mastery,uri://renaissance.com/AssessmentReportingMethodDescriptor,Standard Percent Mastery
Standard Mastery Level,Standard Mastery Level,uri://renaissance.com/AssessmentReportingMethodDescriptor,Standard Mastery Level
Skill Area Mastery Score,Skill Area Mastery Score,uri://renaissance.com/AssessmentReportingMethodDescriptor,Skill Area Mastery Score
