codeValue,description,namespace,shortDescription
Kindergarten,Kindergarten,uri://ed-fi.org/GradeLevelDescriptor,Kindergarten
First grade,First grade,uri://ed-fi.org/GradeLevelDescriptor,First grade
Second grade,Second grade,uri://ed-fi.org/GradeLevelDescriptor,Second grade
Third grade,Third grade,uri://ed-fi.org/GradeLevelDescriptor,Third grade
Fourth grade,Fourth grade,uri://ed-fi.org/GradeLevelDescriptor,Fourth grade
Fifth grade,Fifth grade,uri://ed-fi.org/GradeLevelDescriptor,Fifth grade
Sixth grade,Sixth grade,uri://ed-fi.org/GradeLevelDescriptor,Sixth grade
Seventh grade,Seventh grade,uri://ed-fi.org/GradeLevelDescriptor,Seventh grade
Eighth grade,Eighth grade,uri://ed-fi.org/GradeLevelDescriptor,Eighth grade
Ninth grade,Ninth grade,uri://ed-fi.org/GradeLevelDescriptor,Ninth grade
Tenth grade,Tenth grade,uri://ed-fi.org/GradeLevelDescriptor,Tenth grade
Eleventh grade,Eleventh grade,uri://ed-fi.org/GradeLevelDescriptor,Eleventh grade
Twelfth grade,Twelfth grade,uri://ed-fi.org/GradeLevelDescriptor,Twelfth grade
Ungraded,Ungraded,uri://ed-fi.org/GradeLevelDescriptor,Ungraded
>12,>12,uri://ed-fi.org/GradeLevelDescriptor,>12
Pre-K,Pre-K,uri://ed-fi.org/GradeLevelDescriptor,Pre-K
Other,Other,uri://ed-fi.org/GradeLevelDescriptor,Other
EE,EE,uri://ed-fi.org/GradeLevelDescriptor,EE
