assessment_identifier,codeValue,grade_descriptor
SC-Alt ELA,Third grade,uri://ed.sc.gov/GradeLevelDescriptor#3
SC-Alt ELA,Fourth grade,uri://ed.sc.gov/GradeLevelDescriptor#4
SC-Alt ELA,Fifth grade,uri://ed.sc.gov/GradeLevelDescriptor#5
SC-Alt ELA,Sixth grade,uri://ed.sc.gov/GradeLevelDescriptor#6
SC-Alt ELA,Seventh grade,uri://ed.sc.gov/GradeLevelDescriptor#7
SC-Alt ELA,Eighth grade,uri://ed.sc.gov/GradeLevelDescriptor#8
SC-Alt Mathematics,Third grade,uri://ed.sc.gov/GradeLevelDescriptor#3
SC-Alt Mathematics,Fourth grade,uri://ed.sc.gov/GradeLevelDescriptor#4
SC-Alt Mathematics,Fifth grade,uri://ed.sc.gov/GradeLevelDescriptor#5
SC-Alt Mathematics,Sixth grade,uri://ed.sc.gov/GradeLevelDescriptor#6
SC-Alt Mathematics,Seventh grade,uri://ed.sc.gov/GradeLevelDescriptor#7
SC-Alt Mathematics,Eighth grade,uri://ed.sc.gov/GradeLevelDescriptor#8
SC-Alt Science,Fourth grade,uri://ed.sc.gov/GradeLevelDescriptor#4
SC-Alt Science,Sixth grade,uri://ed.sc.gov/GradeLevelDescriptor#6
SC-Alt Social Studies,Fourth grade,uri://ed.sc.gov/GradeLevelDescriptor#4
SC-Alt Social Studies,Sixth grade,uri://ed.sc.gov/GradeLevelDescriptor#6
