codeValue,description,namespace,shortDescription
Acc1,Setting,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Setting
Acc2,Timing,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Timing
Acc3,Scheduling,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Scheduling
Acc4,Presentation - Oral/Signed Administration Script,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Presentation - Oral/Signed Administration Script
Acc5,Presentation - Oral Administration TTS,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Presentation - Oral Administration TTS
Acc6,Signed Administration VSL,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Signed Administration VSL
Acc7,Presentation - Other,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Presentation - Other
Acc8,Response Options,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Response Options
Acc9,Supplemental Materials or Devices,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Supplemental Materials or Devices
Acc10,Acc10,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Acc10
Acc11,Acc11,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,Acc11
ESLAcc1,ESL Bilingual Dictionary,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,ESL Bilingual Dictionary
ESLAcc2,ESL Directions Translated,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,ESL Directions Translated
ESLAcc3,ESL Individual and Small Group Administration,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,ESL Individual and Small Group Administration
ESLAcc4,ESL Oral Administration,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,ESL Oral Administration
ESLAcc5,ESL Scheduling,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,ESL Scheduling
ESLAcc6,ESL Timing,uri://datarecognitioncorp.com/Assessments/SCPASS/AccommodationDescriptor,ESL Timing
