codeValue,description,namespace,shortDescription,datatype,isScoreMetric
VSS,Overall Vertical Scale Score,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,VSS,Integer,1
RCWAbs,Absolute Report Card Weight,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,RCWAbs,Integer,1
RCWGro,Growth Report Card Weight,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,RCWGro,Integer,1
SS,Overall Scale Score,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,SS,Integer,1
RSMaxHOSS,Raw Score Max with HOSS Flag,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,RSMaxHOSS,String,1
Ag,Aggregated Student Score,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Ag,String,1
Lev1,Performance level one,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Lev1,Integer,1
Lev2,Performance level two,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Lev2,Integer,1
Lev3,Performance level three,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Lev3,Integer,1
Lev4,Performance level four,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Lev4,Integer,1
Lev5,Performance level five,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Lev5,Integer,1
Lev6,Performance level six,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Lev6,Integer,1
Lev7,Performance level seven,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Lev7,Integer,1
Performance Level,Overall Performance Level of Student,<NAMESPACE_PREFIX>/SC_PASS/AssessmentReportingMethodDescriptor,Performance Level,Integer,-1
