assessmentIdentifier,namespace,identificationCode,description
SC_PASS_Science,uri://datarecognitioncorp.com/Assessments/SCPASS,Science Standard 1,Science Standard 1
SC_PASS_Science,uri://datarecognitioncorp.com/Assessments/SCPASS,Science Standard 2,Science Standard 2
SC_PASS_Science,uri://datarecognitioncorp.com/Assessments/SCPASS,Science Standard 3,Science Standard 3
SC_PASS_Science,uri://datarecognitioncorp.com/Assessments/SCPASS,Science Standard 4,Science Standard 4
SC_PASS_Science,uri://datarecognitioncorp.com/Assessments/SCPASS,Science Standard 5,Science Standard 5
SC_PASS_Science,uri://datarecognitioncorp.com/Assessments/SCPASS,Science Standard 6,Science Standard 6
SC_PASS_Social_Studies,uri://datarecognitioncorp.com/Assessments/SCPASS,Social Studies Standard 1,Social Studies Standard 1
SC_PASS_Social_Studies,uri://datarecognitioncorp.com/Assessments/SCPASS,Social Studies Standard 2,Social Studies Standard 2
SC_PASS_Social_Studies,uri://datarecognitioncorp.com/Assessments/SCPASS,Social Studies Standard 3,Social Studies Standard 3
SC_PASS_Social_Studies,uri://datarecognitioncorp.com/Assessments/SCPASS,Social Studies Standard 4,Social Studies Standard 4
SC_PASS_Social_Studies,uri://datarecognitioncorp.com/Assessments/SCPASS,Social Studies Standard 5,Social Studies Standard 5
SC_PASS_Social_Studies,uri://datarecognitioncorp.com/Assessments/SCPASS,Social Studies Standard 6,Social Studies Standard 6
SC_PASS_Social_Studies,uri://datarecognitioncorp.com/Assessments/SCPASS,Social Studies Standard 7,Social Studies Standard 7
