GradeLevel,GradeLevelDescriptor,Official
1,uri://ed.sc.gov/GradeLevelDescriptor#1,
2,uri://ed.sc.gov/GradeLevelDescriptor#2,1
3,uri://ed.sc.gov/GradeLevelDescriptor#3,1
4,uri://ed.sc.gov/GradeLevelDescriptor#4,1
5,uri://ed.sc.gov/GradeLevelDescriptor#5,1
6,uri://ed.sc.gov/GradeLevelDescriptor#6,
7,uri://ed.sc.gov/GradeLevelDescriptor#7,
8,uri://ed.sc.gov/GradeLevelDescriptor#8,
9,uri://ed.sc.gov/GradeLevelDescriptor#9,
10,uri://ed.sc.gov/GradeLevelDescriptor#10,
11,uri://ed.sc.gov/GradeLevelDescriptor#11,
12,uri://ed.sc.gov/GradeLevelDescriptor#12,
