codeValue,description,namespace,shortDescription
Acc1,Accomodations 1,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc1
Acc2,Accomodations 2,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc2
Acc3,Accomodations 3,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc3
Acc4,Accomodations 4,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc4
Acc5,Accomodations 5,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc5
Acc6,Accomodations 6,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc6
Acc7,Accomodations 7,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc7
Acc8,Accomodations 8,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc8
Acc9,Accomodations 9,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc9
Acc10,Accomodations 10,uri://datarecognitioncorp.com/AccommodationDescriptor,Acc10
ESLAcc1,ESL Accomodations 1,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc1
ESLAcc2,ESL Accomodations 2,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc2
ESLAcc3,ESL Accomodations 3,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc3
ESLAcc4,ESL Accomodations 4,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc4
ESLAcc5,ESL Accomodations 5,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc5
ESLAcc6,ESL Accomodations 6,uri://datarecognitioncorp.com/AccommodationDescriptor,ESLAcc6
1Acc1,Session 1 Accomodations 1,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc1
1Acc2,Session 1 Accomodations 2,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc2
1Acc3,Session 1 Accomodations 3,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc3
1Acc4,Session 1 Accomodations 4,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc4
1Acc5,Session 1 Accomodations 5,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc5
1Acc6,Session 1 Accomodations 6,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc6
1Acc7,Session 1 Accomodations 7,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc7
1Acc8,Session 1 Accomodations 8,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc8
1Acc9,Session 1 Accomodations 9,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc9
1Acc10,Session 1 Accomodations 10,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc10
1Acc11,Session 1 Accomodations 11,uri://datarecognitioncorp.com/AccommodationDescriptor,1Acc11
1ESLAcc1,Session 1 ESL Accomodations 1,uri://datarecognitioncorp.com/AccommodationDescriptor,1ESLAcc1
1ESLAcc2,Session 1 ESL Accomodations 2,uri://datarecognitioncorp.com/AccommodationDescriptor,1ESLAcc2
1ESLAcc3,Session 1 ESL Accomodations 3,uri://datarecognitioncorp.com/AccommodationDescriptor,1ESLAcc3
1ESLAcc4,Session 1 ESL Accomodations 4,uri://datarecognitioncorp.com/AccommodationDescriptor,1ESLAcc4
1ESLAcc5,Session 1 ESL Accomodations 5,uri://datarecognitioncorp.com/AccommodationDescriptor,1ESLAcc5
1ESLAcc6,Session 1 ESL Accomodations 6,uri://datarecognitioncorp.com/AccommodationDescriptor,1ESLAcc6
2Acc1,Session 2 Accomodations 1,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc1
2Acc2,Session 2 Accomodations 2,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc2
2Acc3,Session 2 Accomodations 3,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc3
2Acc4,Session 2 Accomodations 4,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc4
2Acc5,Session 2 Accomodations 5,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc5
2Acc6,Session 2 Accomodations 6,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc6
2Acc7,Session 2 Accomodations 7,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc7
2Acc8,Session 2 Accomodations 8,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc8
2Acc9,Session 2 Accomodations 9,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc9
2Acc10,Session 2 Accomodations 10,uri://datarecognitioncorp.com/AccommodationDescriptor,2Acc10
2ESLAcc1,Session 2 ESL Accomodations 1,uri://datarecognitioncorp.com/AccommodationDescriptor,2ESLAcc1
2ESLAcc2,Session 2 ESL Accomodations 2,uri://datarecognitioncorp.com/AccommodationDescriptor,2ESLAcc2
2ESLAcc3,Session 2 ESL Accomodations 3,uri://datarecognitioncorp.com/AccommodationDescriptor,2ESLAcc3
2ESLAcc4,Session 2 ESL Accomodations 4,uri://datarecognitioncorp.com/AccommodationDescriptor,2ESLAcc4
2ESLAcc5,Session 2 ESL Accomodations 5,uri://datarecognitioncorp.com/AccommodationDescriptor,2ESLAcc5
